Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,0,22,0,0,1,0,1,0
0,1,77,0,0,3,0,2,0
0,5,168,0,0,3,0,3,0
0,3,247,0,1,1,0,2,0
0,3,342,0,1,1,0,1,0
0,6,448,0,1,0,0,1,0
0,10,518,1,0,0,0,0,0
0,11,573,1,0,0,0,0,0
1,13,584,0,0,0,0,0,0
8,13,598,0,0,0,0,0,0
8,12,561,0,0,0,0,0,0
14,12,570,0,0,0,0,0,0
3,12,557,0,0,0,1,0,0
7,12,562,0,0,0,2,0,0
1,12,547,0,0,0,2,2,0
3,12,559,1,0,0,3,2,0
4,10,553,0,0,0,3,1,0
7,10,558,2,0,0,3,2,0
4,10,555,0,0,1,2,3,0
7,14,566,1,0,1,2,2,0
3,8,558,0,0,1,1,1,0
8,8,571,0,0,1,1,1,0
8,8,550,1,1,0,0,0,0
10,8,554,2,1,0,0,0,0
5,8,532,0,0,0,2,0,0
11,8,542,2,0,1,3,1,0
1,9,538,2,0,1,3,1,0
3,9,558,2,0,1,3,1,0
0,7,575,0,0,0,0,0,0
0,9,585,1,0,0,0,0,0
0,8,602,1,0,0,0,0,0
0,9,611,1,0,0,0,0,0
0,0,622,0,0,0,0,0,0
0,0,631,1,0,0,0,0,0
0,0,634,1,0,0,0,0,0
0,0,639,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,636,1,0,0,0,0,0
0,0,636,1,0,0,0,0,0
0,0,628,3,0,0,0,0,0
0,0,633,3,1,0,0,0,0
0,0,629,0,1,0,0,0,0
0,0,632,3,1,0,0,0,0
1,0,612,2,0,0,0,0,0
4,0,614,6,0,0,0,0,0
4,1,588,0,0,0,0,0,0
5,1,594,0,1,2,0,0,0
5,2,578,0,1,3,0,0,0
8,2,585,1,2,4,0,0,0
5,1,575,0,0,5,1,0,0
9,1,586,1,0,5,1,1,0
0,1,569,0,0,4,1,1,0
2,2,579,0,0,4,1,1,0
6,4,552,1,0,4,0,1,0
3,3,427,2,0,3,0,1,0
4,4,536,0,0,3,0,1,0
5,6,382,0,0,4,1,4,0
6,10,496,0,1,2,1,4,0
5,11,336,1,2,2,2,3,0
8,15,463,0,0,2,3,2,0
8,13,305,0,0,0,4,2,0
9,15,442,2,0,3,4,4,0
7,16,270,4,0,2,3,3,0
9,16,467,4,0,2,2,6,0
0,20,450,1,0,2,0,0,0
0,25,504,2,0,2,0,0,0
0,22,508,1,0,0,0,0,0
0,19,555,1,0,0,0,0,0
0,3,560,2,0,0,0,0,0
0,1,596,2,0,0,0,0,0
0,1,607,2,0,0,0,0,0
0,1,614,0,0,0,0,0,0
0,0,621,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,646,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,623,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,615,1,0,0,0,0,0
0,0,622,7,0,0,0,0,0
0,0,620,2,0,0,0,0,0
0,0,621,4,0,0,0,0,0
0,0,607,0,0,1,0,0,0
0,1,613,0,0,2,0,1,0
1,1,588,0,0,1,0,0,0
5,2,594,1,0,1,0,2,0
4,3,577,1,0,1,0,1,0
10,4,580,1,0,1,0,1,0
5,5,557,1,0,2,0,1,0
7,7,562,2,0,2,1,1,0
4,7,545,0,0,0,2,0,0
9,8,550,0,0,0,2,1,0
4,7,533,1,0,1,3,0,0
5,9,547,1,0,1,3,1,0
2,11,514,1,0,1,1,1,0
9,14,527,2,0,3,1,1,0
4,12,464,1,0,2,1,2,0
14,14,477,3,1,1,2,3,0
7,12,437,3,0,0,1,3,0
13,12,456,5,0,1,1,5,0
9,10,419,1,0,2,3,5,0
14,13,440,4,0,2,3,8,0
4,13,441,3,0,0,3,6,0
9,15,474,4,0,0,6,6,0
0,14,506,1,1,0,0,0,0
0,15,531,2,0,1,0,0,0
0,14,557,1,0,0,0,0,0
0,15,590,1,0,0,0,0,0
0,0,597,0,0,0,0,0,0
0,0,610,4,0,0,0,0,0
0,0,618,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,637,0,0,0,0,0,0
0,0,637,3,0,0,0,0,0
0,0,628,3,0,0,0,0,0
0,0,630,8,0,0,0,0,0
0,1,626,0,1,0,0,0,0
0,1,629,1,1,0,0,0,0
0,1,614,0,1,0,0,0,0
2,1,618,0,1,0,0,0,0
2,1,590,1,0,0,0,0,0
5,3,595,3,0,0,0,0,0
6,3,586,2,0,0,0,1,0
8,3,591,2,0,0,0,1,0
5,3,580,0,0,1,0,1,0
6,4,584,1,0,2,1,3,0
5,5,563,0,0,3,0,4,0
