Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
635,0,0,7,10
633,0,0,9,10
630,1,0,11,10
626,1,0,15,10
622,1,0,17,12
620,2,0,19,11
618,3,0,20,11
614,4,0,22,12
609,4,0,26,13
602,7,0,31,12
599,6,0,32,15
591,5,0,37,19
585,5,0,40,22
574,5,0,47,26
563,6,0,56,27
548,7,0,67,30
531,8,0,79,34
522,10,0,82,38
511,8,0,86,47
489,10,0,101,52
479,11,0,105,57
471,13,0,107,61
460,15,0,111,66
443,14,0,127,68
431,16,0,124,81
411,20,0,134,87
397,23,0,142,90
378,31,0,150,93
361,32,0,153,106
351,34,0,152,115
338,40,1,159,114
321,46,1,165,119
297,57,1,179,118
287,60,2,174,129
272,64,2,180,134
267,69,2,170,144
252,72,3,170,155
242,82,4,165,159
229,88,4,163,168
219,96,4,160,173
212,101,4,161,174
206,115,4,151,176
202,119,4,148,179
192,128,4,151,177
187,138,4,146,177
182,145,4,142,179
180,147,5,138,182
175,152,5,137,183
171,158,6,131,186
163,169,7,129,184
157,174,7,131,183
154,180,7,123,188
152,195,7,119,179
149,212,7,119,165
148,215,7,110,172
146,226,7,107,166
147,232,7,102,164
145,236,7,94,170
144,240,7,89,172
147,243,7,83,172
142,252,7,85,166
140,257,7,84,164
136,267,7,81,161
134,274,7,82,155
134,282,7,83,146
129,290,7,82,144
128,295,8,77,144
130,299,8,70,145
129,305,8,60,150
127,313,8,57,147
126,321,8,57,140
126,324,8,54,140
124,325,8,53,142
127,328,10,50,137
127,333,10,49,133
130,338,10,49,125
127,341,10,52,122
125,344,10,50,123
125,351,10,49,117
125,354,11,44,118
126,362,11,42,111
127,364,11,41,109
123,369,11,39,110
125,373,11,39,104
125,378,11,34,104
123,382,11,34,102
124,386,11,32,99
126,389,11,30,96
127,397,11,29,88
127,402,11,32,80
128,405,11,27,81
128,408,11,28,77
129,410,11,24,78
129,414,11,25,73
131,415,11,27,68
132,414,11,25,70
130,415,11,22,74
133,414,11,23,71
135,417,11,23,66
133,422,11,23,63
133,426,11,23,59
135,427,11,20,59
135,429,11,20,57
135,432,11,18,56
137,430,11,16,58
138,426,11,19,58
137,429,11,20,55
138,430,11,19,54
136,433,11,19,53
138,432,11,19,52
136,434,11,21,50
137,435,11,19,50
142,434,11,19,46
148,431,11,18,44
151,431,11,18,41
153,431,11,17,40
158,429,11,17,37
160,426,11,18,37
162,426,11,18,35
165,424,11,16,36
167,422,11,16,36
170,421,11,16,34
175,418,11,15,33
174,419,11,16,32
172,422,11,18,29
175,419,11,19,28
175,417,11,21,28
177,417,11,19,28
176,416,11,22,27
180,413,11,19,29
180,412,11,18,31
184,407,11,17,33
186,406,11,14,35
188,402,11,15,36
189,403,11,16,33
191,403,11,15,32
194,400,11,17,30
202,393,11,16,30
206,389,11,18,28
207,386,11,20,28
213,381,11,18,29
217,376,11,18,30
220,376,11,18,27
225,372,11,18,26
226,373,11,16,26
227,371,11,18,25
229,370,11,19,23
235,366,11,18,22
239,359,11,20,23
241,359,11,18,23
244,354,11,18,25
244,355,11,19,23
248,351,11,19,23
250,348,11,17,26
257,341,11,16,27
261,336,11,17,27
270,331,11,18,22
274,327,11,18,22
277,319,11,23,22
281,315,11,24,21
286,309,11,22,24
289,306,11,23,23
296,297,11,25,23
301,295,11,22,23
303,291,11,20,27
310,282,11,19,30
309,281,11,21,30
311,278,11,25,27
319,270,11,25,27
326,266,11,24,25
337,254,11,26,24
335,253,11,30,23
341,249,11,27,24
346,243,11,26,26
352,235,11,27,27
360,225,11,29,27
362,221,11,31,27
369,215,11,32,25
367,213,11,33,28
371,207,11,37,26
379,196,11,39,27
388,186,11,38,29
392,180,11,40,29
395,173,11,40,33
399,171,11,40,31
404,170,11,37,30
412,160,11,36,33
414,157,11,36,34
417,154,11,38,32
419,152,11,36,34
425,145,11,32,39
431,142,11,31,37
430,138,11,34,39
433,137,11,35,36
440,133,11,31,37
439,133,11,32,37
444,129,11,34,34
446,127,11,32,36
445,126,11,35,35
445,127,11,36,33
447,125,11,38,31
445,126,11,41,29
451,121,11,39,30
455,120,11,35,31
453,117,11,40,31
453,115,11,40,33
451,111,11,39,40
457,104,11,39,41
457,104,11,43,37
458,100,11,43,40
467,93,11,41,40
465,95,11,42,39
466,87,11,47,41
464,86,11,48,43
465,83,11,49,44
462,82,11,52,45
460,81,11,58,42
459,79,11,61,42
458,81,11,61,41
461,78,11,58,44
459,77,11,61,44
458,75,11,63,45
461,76,11,60,44
458,74,11,61,48
457,77,11,62,45
458,74,11,60,49
458,73,11,57,53
456,73,11,55,57
456,72,11,56,57
455,74,11,56,56
454,75,11,58,54
452,75,11,61,53
451,78,11,63,49
455,77,11,59,50
451,80,11,62,48
452,80,11,59,50
458,80,11,53,50
453,80,11,59,49
447,79,11,63,52
440,82,11,69,50
441,82,11,69,49
435,82,11,69,55
434,81,11,73,53
428,83,11,75,55
426,86,11,74,55
429,81,11,69,62
427,77,11,68,69
421,79,11,75,66
422,78,11,78,63
421,79,11,75,66
420,75,11,79,67
411,76,11,84,70
408,80,12,84,68
412,82,12,79,67
405,86,12,80,69
407,87,12,80,66
409,89,12,75,67
409,87,12,71,73
411,88,12,71,70
407,89,12,77,67
410,86,12,76,68
407,90,12,76,67
405,93,12,74,68
401,93,12,77,69
400,96,12,75,69
402,94,12,71,73
395,101,12,70,74
392,104,12,69,75
392,101,12,67,80
390,99,12,69,82
384,105,12,65,86
384,105,12,65,86
380,109,12,69,82
379,109,12,68,84
369,113,12,80,78
366,115,12,78,81
363,118,12,79,80
362,118,12,81,79
361,117,12,84,78
363,119,12,77,81
363,124,12,73,80
365,121,12,79,75
364,119,12,79,78
362,121,12,80,77
364,125,12,74,77
364,130,12,71,75
357,132,12,79,72
357,134,12,78,71
359,135,12,76,70
357,137,12,76,70
358,139,12,77,66
351,141,12,82,66
350,139,12,83,68
357,133,12,82,68
356,134,12,83,67
360,132,12,77,71
358,132,12,76,74
358,135,12,77,70
358,132,12,78,72
359,137,12,77,67
358,142,12,76,64
359,146,12,71,64
360,146,12,68,66
364,145,12,63,68
364,141,12,59,76
365,140,12,60,75
364,140,12,57,79
362,141,12,62,75
360,146,12,60,74
357,152,12,58,73
354,151,12,65,70
354,152,12,64,70
358,147,12,64,71
353,146,12,67,74
347,149,12,76,68
346,150,12,80,64
348,145,12,79,68
347,146,12,76,71
337,151,12,85,67
340,149,12,80,71
339,151,12,81,69
338,151,12,80,71
339,150,12,75,76
341,150,12,72,77
336,151,12,80,73
336,152,12,77,75
334,152,12,76,78
336,155,12,74,75
339,151,12,76,74
337,154,12,80,69
336,157,12,80,67
334,160,12,82,64
332,158,12,80,70
335,159,12,73,73
332,162,12,72,74
332,162,12,66,80
333,160,12,70,77
333,160,12,73,74
331,160,12,70,79
326,162,12,72,80
327,166,12,68,79
332,169,12,60,79
331,169,12,62,78
330,169,12,65,76
331,164,12,65,80
334,160,12,64,82
331,164,12,68,77
327,168,12,70,75
326,170,12,66,78
326,169,12,64,81
332,164,12,66,78
327,167,12,66,80
323,173,12,63,81
325,173,12,63,79
322,176,12,63,79
327,176,12,64,73
327,177,12,64,72
325,177,12,65,73
326,177,12,60,77
324,181,12,60,75
325,181,12,58,76
327,182,13,56,74
333,182,13,54,70
338,182,13,51,68
336,186,13,49,68
337,186,13,46,70
347,182,13,45,65
346,182,13,44,67
344,186,13,46,63
341,186,13,52,60
343,183,13,50,63
346,181,13,49,63
350,180,13,44,65
349,177,13,46,67
349,176,13,46,68
349,173,13,48,69
353,177,13,47,62
354,173,13,49,63
360,165,13,50,64
366,161,13,50,62
370,162,13,50,57
373,160,13,46,60
371,162,13,47,59
369,157,13,52,61
371,154,13,51,63
370,150,13,56,63
368,146,13,62,63
372,144,14,55,67
370,150,14,57,61
371,147,14,59,61
370,150,14,57,61
373,146,14,58,61
367,147,14,61,63
368,143,14,63,64
369,141,14,65,63
366,143,14,67,62
364,142,14,67,65
359,148,14,70,61
355,150,14,71,62
353,148,14,72,65
357,143,14,64,74
352,145,14,68,73
353,149,14,63,73
356,148,14,63,71
357,142,14,71,68
362,138,14,69,69
364,140,14,67,67
364,142,14,69,63
363,143,14,70,62
365,143,14,73,57
369,138,14,76,55
370,139,14,74,55
372,135,14,67,64
367,137,14,70,64
370,137,14,65,66
371,135,14,65,67
376,129,14,58,75
376,131,14,63,68
373,139,14,64,62
378,133,14,64,63
372,133,14,67,66
374,131,14,66,67
374,132,14,65,67
371,132,14,71,64
374,130,14,69,65
372,129,14,72,65
374,125,14,65,74
373,126,14,68,71
371,129,14,69,69
363,127,14,76,72
362,129,14,73,74
360,138,14,77,63
361,138,14,76,63
362,135,14,79,62
360,137,14,80,61
361,138,14,80,59
361,135,14,75,67
360,136,14,76,66
356,135,14,80,67
353,136,14,77,72
356,131,14,76,75
356,131,14,72,79
346,132,14,79,81
342,132,14,85,79
340,131,14,88,79
335,135,14,91,77
335,132,14,92,79
335,133,14,94,76
333,135,14,94,76
328,139,14,95,76
323,143,14,96,76
324,147,14,92,75
316,146,14,94,82
319,139,14,86,94
320,146,14,87,85
321,144,14,91,82
317,148,14,91,82
316,149,14,88,85
321,150,14,84,83
318,152,14,87,81
313,152,14,87,86
315,152,14,85,86
316,158,14,78,86
314,160,14,68,96
315,158,14,72,93
310,160,14,79,89
303,167,14,86,82
306,164,14,84,84
306,162,14,88,82
303,160,14,90,85
293,163,14,98,84
292,169,14,99,78
295,172,14,94,77
297,171,14,92,78
300,170,14,89,79
299,177,14,83,79
296,176,14,86,80
293,179,14,84,82
291,178,14,86,83
284,182,14,84,88
285,183,14,80,90
281,185,15,81,90
282,188,15,80,87
280,190,15,78,89
282,191,15,74,90
279,199,15,74,85
274,203,15,77,83
273,203,15,74,87
273,203,15,71,90
275,208,15,67,87
276,213,15,67,81
270,219,15,70,78
270,219,15,70,78
270,220,15,71,76
270,224,15,69,74
271,226,15,66,74
272,228,15,61,76
268,228,15,65,76
267,233,15,63,74
263,234,15,65,75
265,236,15,63,73
270,235,15,59,73
278,231,15,55,73
280,232,15,54,71
278,232,15,56,71
279,233,15,60,65
281,229,15,58,69
279,227,15,61,70
273,227,15,62,75
270,230,15,67,70
270,229,15,68,70
269,229,15,66,73
272,231,15,63,71
272,231,15,61,73
275,232,15,62,68
277,231,15,60,69
279,228,15,62,68
283,226,15,59,69
287,223,15,54,73
284,230,15,54,69
286,225,15,55,71
290,228,15,49,70
291,228,15,49,69
289,228,15,50,70
296,224,15,48,69
296,224,15,52,65
297,224,15,52,64
294,228,15,53,62
299,222,15,57,59
299,221,15,55,62
299,223,15,55,60
301,222,15,56,58
301,223,15,56,57
300,222,15,57,58
304,222,15,54,57
300,223,15,56,58
298,226,15,55,58
298,228,15,53,58
296,230,15,52,59
296,230,15,54,57
297,230,15,54,56
295,232,15,56,54
295,229,15,53,60
297,229,15,47,64
296,232,15,47,62
298,228,15,47,64
302,229,15,46,60
303,228,15,48,58
307,224,15,50,56
305,227,15,53,52
308,227,15,50,52
309,229,15,51,48
307,228,15,51,51
310,224,15,52,51
312,220,15,51,54
315,216,15,49,57
316,213,15,49,59
318,213,15,44,62
320,211,15,44,62
321,206,15,45,65
325,201,15,47,64
321,204,15,47,65
321,203,15,48,65
321,204,15,51,61
323,200,15,49,65
326,197,15,47,67
328,200,15,47,62
333,196,15,48,60
335,194,15,48,60
331,196,15,51,59
332,194,15,51,60
334,194,15,53,56
332,193,15,55,57
334,192,15,55,56
330,191,15,59,57
337,186,15,54,60
342,184,15,52,59
338,189,15,51,59
340,187,15,53,57
346,180,15,54,57
347,178,15,57,55
346,174,15,59,58
349,171,15,60,57
352,165,15,60,60
351,166,15,58,62
358,161,15,57,61
354,163,15,62,58
353,162,15,62,60
352,163,15,61,61
352,159,15,65,61
353,158,15,66,60
349,157,15,69,62
346,161,15,70,60
349,159,15,66,63
349,158,15,68,62
350,155,15,68,64
344,155,15,71,67
343,154,15,72,68
345,151,15,73,68
346,151,15,68,72
345,154,15,67,71
344,151,15,70,72
341,151,15,73,72
334,153,15,78,72
329,158,15,81,69
333,157,15,81,66
332,155,15,81,69
336,156,15,72,73
338,153,15,69,77
335,149,15,74,79
333,148,15,72,84
330,149,15,77,81
329,146,15,74,88
328,144,15,78,87
323,145,15,83,86
325,147,15,82,83
326,147,15,81,83
325,150,15,77,85
328,151,15,76,82
331,151,15,73,82
336,155,15,68,78
332,153,15,67,85
327,155,15,69,86
325,159,15,65,88
324,160,15,66,87
320,166,15,67,84
317,169,15,66,85
314,167,15,71,85
315,170,15,69,83
313,171,15,68,85
309,177,15,69,82
305,180,15,72,80
304,179,15,73,81
300,186,15,73,78
296,193,15,72,76
297,195,15,74,71
296,194,15,77,70
298,190,15,73,76
303,191,15,70,73
305,194,15,69,69
305,194,15,64,74
307,195,15,64,71
306,198,15,68,65
304,198,15,68,67
306,200,15,66,65
306,204,15,66,61
305,209,15,66,57
307,206,15,61,63
309,208,15,61,59
304,209,15,66,58
310,204,15,66,57
312,199,15,67,59
315,201,15,65,56
319,202,15,60,56
320,202,15,54,61
324,200,15,49,64
323,198,15,51,65
322,202,15,52,61
323,201,15,53,60
323,200,15,45,69
328,198,15,46,65
334,195,15,44,64
334,196,15,46,61
327,200,15,48,62
327,199,15,51,60
326,199,15,52,60
330,197,15,48,62
327,199,15,56,55
331,195,15,54,57
332,190,15,56,59
328,191,15,57,61
330,191,15,58,58
331,190,15,58,58
331,189,15,61,56
336,183,15,60,58
337,186,15,56,58
339,185,15,57,56
341,184,15,55,57
352,175,15,52,58
346,176,15,56,59
343,178,15,56,60
345,172,15,52,68
345,175,15,54,63
339,178,15,60,60
340,173,15,58,66
338,171,15,58,70
338,170,15,54,75
338,172,15,53,74
339,171,15,54,73
345,167,15,53,72
343,165,15,58,71
345,160,15,59,73
344,159,15,57,77
347,158,15,58,74
345,163,15,58,71
343,168,15,58,68
340,172,15,55,70
336,176,15,57,68
331,176,15,63,67
332,179,15,65,61
331,180,15,68,58
332,177,15,70,58
331,180,15,64,62
331,180,15,64,62
326,180,15,72,59
328,177,15,74,58
324,179,15,76,58
326,178,15,79,54
327,179,15,69,62
332,177,15,66,62
329,180,15,64,64
333,177,15,68,59
334,177,15,66,60
334,177,15,60,66
335,176,15,59,67
337,175,15,60,65
345,171,15,55,66
351,166,15,50,70
353,168,15,50,66
352,167,15,52,66
352,165,15,54,66
349,166,15,55,67
347,164,15,58,68
352,161,15,59,65
350,159,15,65,63
349,159,15,67,62
