Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,1,11,0,1,1,0,2,0
0,4,41,0,1,3,0,2,0
0,7,112,0,1,2,0,6,0
0,6,168,0,1,1,0,0,0
0,9,285,0,0,1,0,1,0
0,11,389,0,0,0,0,0,0
0,15,456,0,0,0,0,0,0
1,18,536,0,0,0,0,0,0
0,20,524,0,0,0,0,0,0
2,20,584,0,0,0,0,0,0
2,22,549,1,0,0,0,1,0
7,21,571,1,0,0,0,1,0
13,20,506,0,0,0,0,0,0
10,20,561,0,0,0,0,0,0
6,19,538,0,0,0,0,0,0
8,20,549,0,0,0,0,0,0
3,21,546,0,1,2,0,0,0
6,22,560,0,1,2,0,0,0
4,22,551,0,0,1,0,0,0
4,22,562,0,0,1,0,0,0
7,23,569,0,0,1,0,1,0
6,22,549,0,0,1,0,1,0
3,18,449,0,0,0,0,1,0
5,17,547,0,0,0,0,1,0
9,18,556,1,0,1,2,3,0
7,14,534,0,0,1,2,2,0
9,10,360,1,0,1,2,1,0
6,10,547,0,0,2,2,2,0
0,10,541,0,0,3,0,1,0
0,10,578,1,0,2,0,0,0
0,9,582,1,0,0,0,0,0
0,9,594,3,0,0,0,0,0
0,1,599,1,0,0,0,0,0
0,0,613,1,0,0,0,0,0
0,0,623,0,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,634,2,0,0,0,0,0
0,0,625,1,0,0,0,0,0
0,0,626,3,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,627,1,0,0,0,0,0
0,0,614,1,0,0,0,0,0
4,0,616,1,0,0,0,1,0
3,1,591,0,0,0,0,1,0
5,2,596,1,0,0,0,2,0
4,2,581,0,1,0,1,0,0
6,2,583,1,1,0,1,0,0
4,2,561,0,1,0,2,0,0
6,2,573,1,1,0,3,1,0
2,3,555,1,0,0,2,1,0
4,4,561,2,0,1,2,3,0
0,3,533,0,0,1,2,0,0
5,4,548,2,1,2,3,0,0
4,4,524,1,0,3,3,4,0
9,5,540,2,0,3,3,6,0
11,7,504,2,1,2,1,4,0
11,6,330,2,2,2,0,4,0
9,9,473,0,1,2,1,6,0
6,10,403,0,0,1,1,4,0
9,13,437,0,0,1,2,3,0
7,13,399,1,0,2,1,3,0
10,14,447,3,0,2,2,4,0
0,15,455,2,0,0,0,0,0
0,18,501,3,0,0,0,0,0
0,15,532,2,0,0,0,0,0
0,16,563,3,0,0,0,0,0
0,0,586,0,0,0,0,0,0
0,0,606,0,0,0,0,0,0
0,0,614,0,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,640,0,0,0,0,0,0
0,0,646,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,629,1,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,625,1,0,0,0,0,0
0,0,629,5,0,0,0,0,0
0,0,628,1,0,0,0,0,0
0,0,632,2,0,0,0,0,0
1,0,623,0,0,0,0,0,0
3,2,627,0,0,0,0,1,0
3,2,611,0,0,0,0,0,0
5,3,615,0,0,0,0,0,0
2,3,594,1,0,0,0,0,0
4,3,598,1,0,0,0,0,0
3,3,574,0,0,0,1,0,0
7,3,577,1,0,0,3,1,0
7,3,553,1,0,0,2,2,0
11,3,562,4,0,0,2,2,0
4,4,539,1,0,0,2,2,0
10,4,551,2,0,0,2,4,0
3,4,516,2,0,0,2,3,0
7,6,529,4,0,0,2,3,0
5,4,500,0,1,0,2,1,0
10,7,526,0,1,0,2,3,0
7,10,474,0,0,1,4,4,0
11,11,495,1,1,1,6,6,0
12,10,434,4,1,2,6,4,0
22,12,450,7,2,4,6,5,0
10,13,434,1,1,2,3,6,0
11,14,464,4,1,3,4,7,0
0,17,497,3,0,0,0,0,0
0,17,533,5,0,0,0,0,0
0,17,559,2,0,0,0,0,0
0,18,579,3,0,0,0,0,0
0,0,588,0,0,0,0,0,0
0,0,608,2,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,606,0,0,0,0,0,0
0,0,632,1,0,0,0,0,0
0,0,618,3,0,0,0,0,0
0,0,629,3,0,0,0,0,0
0,0,627,0,0,0,0,0,0
0,0,634,1,0,0,0,0,0
0,0,615,0,0,0,0,0,0
1,0,621,0,0,0,0,0,0
3,0,597,0,0,0,0,0,0
3,2,603,0,0,0,1,0,0
0,3,588,0,0,0,1,0,0
1,4,593,2,0,0,1,0,0
1,4,582,0,0,0,2,2,0
2,4,590,1,0,0,2,2,0
2,4,564,0,0,0,2,1,0
5,5,573,0,0,0,2,1,0
2,5,547,0,0,0,1,1,0
13,5,553,0,0,1,2,3,0
5,6,522,0,0,0,1,3,0
7,6,531,0,0,0,1,6,0
3,6,490,0,0,1,0,6,0
13,7,499,1,0,4,1,8,0
9,6,443,1,0,2,2,6,0
12,8,468,2,0,2,2,7,0
9,7,406,3,0,1,3,3,0
18,9,428,4,0,2,3,5,0
11,11,408,2,0,1,2,4,0
14,11,442,3,0,3,3,5,0
0,12,467,0,0,1,0,0,0
0,12,502,1,0,2,0,0,0
0,13,544,0,0,0,0,0,0
0,13,571,1,0,0,0,0,0
0,1,583,1,0,1,0,0,0
0,0,605,3,0,0,0,0,0
0,0,615,0,0,0,0,0,0
0,0,621,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,632,3,0,0,0,0,0
0,0,622,5,0,0,0,0,0
0,0,624,7,0,0,0,0,0
0,0,620,1,0,0,0,0,0
0,0,624,1,0,0,0,1,0
0,0,623,0,0,0,0,1,0
0,1,630,1,0,0,0,1,0
2,1,605,1,0,0,0,0,0
5,2,607,1,0,0,0,0,0
2,2,591,0,0,0,0,0,0
3,3,597,1,0,0,1,0,0
4,2,581,1,0,1,1,0,0
9,2,586,2,0,1,1,1,0
7,3,569,0,0,1,1,2,0
11,5,573,0,1,2,1,4,0
6,5,559,1,1,2,1,2,0
5,6,435,0,1,2,1,1,0
5,7,533,1,1,2,1,2,0
7,8,372,2,1,2,1,3,0
4,11,489,3,1,1,2,4,0
7,11,312,3,0,1,2,4,0
8,15,451,7,0,3,1,3,0
9,13,369,6,1,2,1,3,0
17,16,398,7,1,3,2,4,0
5,12,376,2,0,4,2,4,0
12,13,421,2,0,4,3,5,0
2,13,444,2,0,3,0,0,0
0,16,495,4,0,3,0,0,0
0,15,522,1,0,1,0,0,0
0,18,551,1,0,1,0,0,0
0,0,574,1,0,0,0,0,0
0,0,599,2,0,0,0,0,0
0,0,616,0,0,0,0,0,0
0,0,620,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,632,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,647,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,650,1,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,629,2,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,620,2,0,0,0,2,0
0,0,615,4,0,0,0,0,0
0,0,618,4,0,0,0,0,0
0,0,595,1,0,0,0,0,0
0,0,604,2,0,1,0,0,0
