Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
638,0,0,4,10
635,1,0,8,8
635,1,0,8,8
633,1,0,9,9
630,2,0,12,8
629,3,0,10,10
627,3,0,12,10
625,3,0,15,9
622,3,0,17,10
620,3,0,20,9
617,3,0,20,12
611,3,0,23,15
608,3,0,24,17
602,5,0,28,17
590,5,0,38,19
581,6,0,43,22
569,8,0,50,25
563,8,0,55,26
549,9,1,65,28
533,10,1,76,32
513,11,1,90,37
510,8,1,95,38
496,8,1,105,42
486,9,1,112,44
461,10,1,130,50
433,11,1,151,56
417,15,1,158,61
401,18,1,158,74
366,22,1,174,89
348,24,2,180,98
329,25,2,190,106
308,29,2,197,116
288,28,2,199,135
262,29,3,215,143
240,34,3,222,153
221,38,3,223,167
201,44,4,222,181
184,48,4,233,183
171,54,4,231,192
158,60,4,234,196
148,66,4,230,204
132,72,4,231,213
116,78,4,237,217
103,84,5,241,219
104,86,5,226,231
105,92,6,213,236
104,104,6,198,240
104,110,6,181,251
105,122,6,169,250
108,131,7,156,250
108,138,7,144,255
108,147,8,138,251
108,155,8,132,249
110,160,8,121,253
111,165,8,115,253
113,172,9,109,249
114,179,9,97,253
115,187,10,91,249
116,194,10,85,247
116,203,10,80,243
118,209,10,76,239
119,215,10,70,238
122,219,11,69,231
123,228,12,66,223
126,233,13,63,217
129,236,15,57,215
132,243,15,51,211
133,247,15,47,210
135,253,18,46,200
138,252,18,42,202
140,256,18,35,203
141,260,18,32,201
143,264,19,29,197
144,273,19,26,190
145,275,19,25,188
147,279,19,23,184
148,286,19,21,178
149,287,19,21,176
151,290,20,18,173
153,296,21,19,163
153,302,21,17,159
160,300,21,16,155
162,304,22,16,148
163,308,23,13,145
167,311,24,13,137
170,313,24,11,134
173,313,24,10,132
178,313,24,9,128
181,315,24,7,125
182,314,24,7,125
184,316,25,7,120
187,315,25,7,118
194,314,25,6,113
197,314,25,4,112
199,314,25,4,110
205,309,25,4,109
210,308,25,3,106
212,312,25,3,100
220,307,25,3,97
223,307,25,2,95
228,304,25,2,93
232,301,25,2,92
238,296,25,2,91
246,290,25,2,89
221,288,25,29,89
216,286,25,33,92
210,289,25,39,89
201,288,25,46,92
196,290,25,48,93
193,289,25,52,93
184,285,25,65,93
175,284,25,75,93
166,284,25,79,98
156,288,25,86,97
