Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,0,5,0,0,1,0,0,0
0,2,37,0,2,1,0,1,0
0,5,100,0,3,2,0,2,0
0,7,169,0,1,3,0,2,0
0,7,280,2,1,1,0,0,0
0,8,364,1,0,0,0,1,0
0,6,453,0,0,0,0,2,0
2,11,534,0,0,0,0,1,0
0,14,488,1,0,0,0,0,0
6,19,580,1,0,0,0,0,0
1,19,534,0,0,0,0,0,0
10,19,556,0,0,0,0,0,0
8,22,539,0,0,0,0,0,0
8,22,551,1,0,0,0,0,0
5,19,536,0,0,1,0,0,0
10,21,550,0,0,2,0,1,0
7,23,542,0,0,2,0,0,0
10,23,550,0,1,4,0,0,0
5,23,542,1,1,4,0,0,0
7,25,548,2,1,5,1,1,0
5,21,523,1,1,6,1,2,0
16,22,532,1,1,6,1,3,0
4,22,520,0,0,2,0,2,0
7,23,529,0,0,2,1,2,0
6,19,505,2,1,2,1,0,0
9,20,527,3,1,2,1,0,0
6,18,533,1,0,1,2,2,0
8,18,543,3,0,2,2,2,0
0,19,565,2,0,0,0,0,0
0,16,484,1,0,0,0,0,0
0,14,593,0,0,0,0,0,0
0,4,568,0,0,0,0,0,0
0,0,615,0,0,0,0,0,0
0,0,626,0,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,549,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,549,0,0,0,0,0,0
0,0,640,0,0,0,0,0,0
0,0,586,1,0,0,0,0,0
0,0,636,1,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,639,1,0,0,0,0,0
0,0,621,0,0,0,0,0,0
3,0,621,0,0,0,0,1,0
5,1,594,1,0,0,0,1,0
10,1,601,1,0,0,0,1,0
2,1,576,0,0,0,0,1,0
3,1,582,1,0,0,0,1,0
2,1,562,2,0,0,0,1,0
5,3,565,2,0,0,2,1,0
1,3,549,1,0,1,3,1,0
3,3,553,1,0,1,3,1,0
1,3,535,0,0,2,4,1,0
3,4,543,2,0,3,4,3,0
4,5,517,3,0,2,2,3,0
6,5,531,4,0,2,2,4,0
4,6,498,2,0,2,0,4,0
10,7,509,2,0,1,0,5,0
7,7,462,3,0,1,1,5,0
17,9,474,3,0,1,1,8,0
13,9,424,0,0,2,3,9,0
19,10,449,1,1,3,2,11,0
14,7,441,1,1,3,2,9,0
