Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
642,1,0,0,9
642,1,0,1,8
641,2,0,2,7
642,1,0,2,7
642,1,0,2,7
640,3,0,3,6
637,4,0,6,5
638,4,0,6,4
637,4,0,7,4
637,4,0,7,4
636,4,0,8,4
636,4,0,7,5
636,4,0,6,6
635,4,0,7,6
635,4,0,7,6
635,4,0,7,6
635,3,0,7,7
635,3,0,8,6
635,3,0,9,5
635,3,0,9,5
635,3,0,9,5
635,3,0,8,6
635,2,0,9,6
634,1,0,11,6
631,1,0,14,6
630,1,0,14,7
628,1,0,15,8
626,1,0,16,9
624,2,0,18,8
622,2,0,17,11
622,3,0,16,11
622,4,0,16,10
622,3,0,17,10
620,4,0,17,11
621,3,0,16,12
620,2,0,18,12
621,0,0,18,13
619,0,0,19,14
617,0,0,17,18
615,0,0,19,18
612,0,0,21,19
610,1,0,20,21
610,2,0,17,23
607,3,0,19,23
607,3,0,18,24
608,2,0,17,25
607,3,0,17,25
607,2,0,17,26
603,2,0,21,26
601,3,0,20,28
596,3,0,25,28
592,3,0,29,28
591,3,0,29,29
589,5,0,25,33
590,7,0,25,30
588,7,0,29,28
586,5,0,30,31
584,6,1,32,29
584,6,1,33,28
581,5,1,35,30
577,5,1,36,33
573,7,1,37,34
575,7,1,36,33
567,7,1,43,34
565,9,1,42,35
566,8,1,38,39
564,11,1,36,40
562,10,2,34,44
555,10,3,40,44
555,11,3,40,43
551,12,3,43,43
550,11,3,43,45
540,11,3,51,47
538,11,3,52,48
528,12,3,59,50
526,13,3,55,55
525,12,3,54,58
518,12,3,62,57
511,14,3,65,59
507,16,3,69,57
503,15,3,67,64
499,14,3,68,68
490,17,3,74,68
482,16,3,81,70
474,14,3,82,79
463,16,3,86,84
457,16,3,90,86
453,14,3,92,90
444,17,3,97,91
441,17,3,91,100
432,20,3,93,104
424,26,3,94,105
419,26,4,94,109
411,25,4,98,114
406,29,5,97,115
401,30,5,91,125
392,37,5,95,123
385,37,7,100,123
380,36,7,99,130
367,36,7,106,136
360,39,7,104,142
351,41,7,105,148
347,44,8,103,150
333,47,8,111,153
324,49,8,113,158
312,55,8,120,157
309,55,9,118,161
305,55,9,115,168
289,56,9,125,173
282,62,9,127,172
269,66,9,134,174
263,64,9,141,175
254,68,9,142,179
244,71,9,140,188
237,73,9,134,199
228,77,9,134,204
227,83,10,129,203
218,89,10,126,209
211,96,10,123,212
202,100,12,123,215
194,104,12,119,223
191,112,12,115,222
187,117,14,116,218
179,120,15,119,219
171,130,15,122,214
170,135,15,118,214
163,142,15,119,213
159,152,16,117,208
157,156,16,117,206
151,161,16,114,210
143,165,16,113,215
138,176,16,114,208
134,182,16,101,219
133,185,16,98,220
131,189,16,96,220
125,192,16,101,218
122,195,16,96,223
118,208,16,98,212
116,217,16,93,210
117,218,16,90,211
112,220,16,92,212
113,220,16,88,215
107,222,17,91,215
108,225,17,89,213
103,225,17,90,217
99,231,17,88,217
97,238,17,84,216
96,241,17,82,216
97,247,17,77,214
94,254,17,81,206
90,259,17,86,200
91,266,17,84,194
89,271,17,79,196
85,276,17,77,197
77,279,17,79,200
75,285,18,79,195
66,293,18,84,191
63,300,18,80,191
62,305,18,75,192
64,313,18,70,187
61,318,18,67,188
58,322,19,63,190
56,327,19,62,188
55,333,19,59,186
57,339,20,55,181
57,344,20,52,179
56,344,21,51,180
57,351,21,48,175
55,355,21,46,175
55,359,21,46,171
54,364,21,46,167
53,369,21,45,164
51,377,22,44,158
51,383,22,40,156
50,389,22,37,154
47,395,22,37,151
46,401,22,36,147
46,407,22,32,145
43,413,22,34,140
41,414,22,34,141
41,414,22,36,139
39,419,22,35,137
36,420,22,37,137
36,426,22,32,136
38,430,22,31,131
39,431,22,31,129
38,433,22,30,129
37,435,22,30,128
35,439,22,30,126
36,440,22,30,124
33,446,22,32,119
34,449,22,31,116
34,452,22,31,113
34,455,22,29,112
33,458,22,28,111
32,463,22,23,112
33,466,22,22,109
33,470,22,20,107
33,474,22,17,106
32,478,22,18,102
33,483,22,18,96
31,484,22,19,96
32,484,23,18,95
32,485,23,18,94
30,491,23,19,89
31,492,23,19,87
32,496,23,19,82
33,497,23,19,80
33,499,23,18,79
33,502,24,18,75
33,505,24,15,75
31,508,24,13,76
31,509,24,13,75
30,510,24,13,75
30,512,24,12,74
29,513,24,13,73
29,516,24,13,70
29,518,24,12,69
29,520,24,12,67
30,521,24,12,65
30,524,24,11,63
31,523,24,10,64
32,524,24,10,62
31,527,24,11,59
33,527,24,11,57
33,529,24,11,55
33,530,24,10,55
34,531,24,7,56
35,530,25,7,55
35,533,25,7,52
34,534,25,8,51
32,535,26,10,49
31,535,27,11,48
31,535,27,11,48
35,534,27,11,45
35,535,27,10,45
36,535,27,10,44
36,540,27,10,39
36,539,27,11,39
36,543,27,11,35
36,543,27,11,35
35,543,27,12,35
37,541,27,10,37
37,540,27,10,38
36,541,27,9,39
36,541,27,9,39
35,541,27,10,39
35,541,27,8,41
34,543,27,7,41
34,543,27,7,41
34,543,27,7,41
36,544,27,6,39
38,543,27,6,38
39,543,27,6,37
38,543,27,6,38
37,546,27,7,35
37,546,27,6,36
38,546,27,6,35
38,546,27,7,34
40,546,27,6,33
40,547,27,7,31
40,547,27,7,31
40,550,27,6,29
39,551,27,6,29
39,552,27,6,28
40,551,27,6,28
40,551,27,6,28
39,550,27,8,28
40,549,27,8,28
40,548,27,9,28
38,549,27,9,29
38,551,27,8,28
38,552,27,8,27
37,552,27,9,27
37,553,27,9,26
38,553,27,7,27
39,554,27,5,27
39,553,27,5,28
39,555,27,5,26
40,555,27,4,26
39,555,27,4,27
39,555,27,4,27
40,554,27,3,28
40,554,28,4,26
39,555,28,5,25
41,554,28,5,24
41,555,28,5,23
39,555,28,7,23
39,556,28,8,21
39,556,28,7,22
39,557,28,7,21
39,557,28,7,21
40,558,28,7,19
42,556,28,6,20
42,558,28,6,18
42,558,28,6,18
42,557,28,7,18
43,556,28,6,19
42,556,28,7,19
42,556,28,7,19
42,556,28,7,19
42,556,28,7,19
42,556,28,7,19
42,556,28,6,20
42,556,28,7,19
41,556,28,7,20
41,556,28,7,20
41,556,28,6,21
40,556,28,6,22
41,555,28,6,22
41,555,29,7,20
41,555,29,7,20
41,554,29,8,20
44,552,29,6,21
45,551,29,5,22
47,549,29,5,22
46,550,29,5,22
47,551,29,4,21
47,551,29,4,21
48,551,29,4,20
48,551,29,3,21
48,551,29,3,21
50,550,29,3,20
50,550,29,3,20
51,549,29,2,21
51,550,29,2,20
51,551,29,2,19
50,551,29,3,19
52,550,29,3,18
53,549,29,3,18
53,551,29,3,16
54,550,29,2,17
54,551,29,3,15
55,549,29,4,15
56,552,29,4,11
57,551,29,4,11
58,550,29,4,11
60,549,29,3,11
59,549,29,4,11
60,547,29,4,12
61,547,29,4,11
62,547,29,4,10
63,546,29,4,10
64,545,29,4,10
63,545,29,5,10
64,544,29,5,10
65,543,29,4,11
63,543,29,6,11
62,543,29,7,11
64,541,29,7,11
65,540,29,6,12
67,538,29,6,12
68,536,29,7,12
69,535,29,7,12
70,534,29,8,11
75,529,29,8,11
76,528,29,8,11
77,527,29,6,13
75,529,29,7,12
75,529,29,5,14
74,527,29,8,14
75,527,29,8,13
78,524,29,6,15
80,522,29,6,15
81,522,29,6,14
84,520,29,6,13
85,519,29,6,13
88,516,29,6,13
92,512,29,6,13
94,511,29,6,12
100,506,29,6,11
105,500,29,8,10
103,501,29,9,10
108,497,29,9,9
108,496,29,10,9
111,492,29,10,10
112,491,29,9,11
117,485,29,8,13
117,482,29,10,14
123,476,29,10,14
127,473,29,9,14
134,467,29,8,14
134,470,29,6,13
137,465,29,8,13
140,463,29,8,12
145,458,29,9,11
146,454,29,10,13
147,455,29,9,12
149,452,29,9,13
153,448,29,11,11
160,441,29,10,12
162,440,30,10,10
166,436,30,10,10
168,432,30,13,9
171,428,30,13,10
179,419,30,13,11
188,410,30,13,11
196,401,30,14,11
205,392,30,14,11
210,386,30,12,14
215,379,30,12,16
219,371,30,15,17
223,367,30,13,19
233,356,30,14,19
245,342,30,15,20
255,331,30,15,21
263,319,30,18,22
271,306,30,22,23
275,302,30,23,22
282,294,30,21,25
290,282,30,22,28
298,272,30,20,32
302,267,30,21,32
302,264,30,22,34
313,251,30,24,34
320,241,30,26,35
332,230,30,25,35
339,218,30,28,37
346,207,30,28,41
350,194,30,37,41
354,187,30,39,42
356,180,30,44,42
367,165,30,41,49
371,159,30,41,51
379,152,30,42,49
385,145,30,44,48
390,135,30,49,48
407,117,30,47,51
408,113,30,49,52
408,107,30,52,55
402,106,31,54,59
401,99,31,60,61
395,95,31,68,63
392,92,31,69,68
391,89,31,71,70
392,84,31,72,73
388,82,31,75,76
394,75,31,76,76
400,72,31,69,80
401,71,31,69,80
395,70,31,70,86
395,65,31,69,92
392,64,31,70,95
385,65,31,72,99
380,62,31,78,101
372,61,31,80,108
368,59,31,81,113
364,61,31,86,110
359,63,31,86,113
359,64,31,82,116
352,68,31,88,113
350,64,31,88,119
345,62,32,89,124
341,64,32,93,122
333,65,32,98,124
325,65,32,106,124
320,65,32,112,123
317,65,32,113,125
309,67,33,123,120
309,68,33,126,116
302,74,33,125,118
300,74,33,127,118
294,74,33,128,123
290,75,33,124,130
279,82,33,128,130
269,82,33,127,141
265,85,33,127,142
259,85,33,129,146
250,85,33,132,152
240,87,33,128,164
229,96,33,127,167
215,103,33,130,171
214,105,34,127,172
212,111,34,124,171
201,116,34,129,172
199,119,34,126,174
191,121,34,129,177
188,123,34,126,181
181,122,34,124,191
177,124,34,119,198
173,128,34,115,202
167,131,34,116,204
161,141,34,112,204
154,144,34,112,208
148,148,34,112,210
145,154,35,110,208
143,159,35,104,211
140,162,35,101,214
138,166,35,101,212
130,174,35,104,209
126,179,35,99,213
119,187,35,99,212
120,187,35,92,218
116,195,35,90,216
111,200,35,83,223
108,205,35,87,217
106,208,35,84,219
101,217,35,82,217
99,227,35,80,211
97,238,35,78,204
93,242,35,81,201
89,249,35,81,198
89,251,35,82,195
88,254,35,83,192
90,259,35,77,191
89,263,35,75,190
86,268,35,78,185
84,269,35,77,187
84,278,36,73,181
82,278,36,73,183
79,280,37,74,182
80,282,37,72,181
74,294,37,74,173
71,294,37,75,175
71,304,37,75,165
72,303,37,72,168
68,308,37,71,168
67,316,37,62,170
70,319,37,55,171
67,321,37,59,168
67,322,37,53,173
66,322,37,52,175
64,324,37,50,177
63,329,37,46,177
61,333,37,46,175
60,338,37,42,175
57,346,37,44,168
56,351,37,45,163
55,352,38,43,164
55,355,38,42,162
55,360,38,40,159
54,365,38,38,157
52,369,38,39,154
50,372,38,39,153
46,374,38,43,151
45,381,38,39,149
44,385,38,38,147
44,387,38,36,147
42,392,38,36,144
43,394,38,28,149
43,399,38,26,146
42,405,38,23,144
43,411,38,21,139
43,412,38,21,138
44,417,38,21,132
43,426,38,22,123
42,430,38,23,119
41,432,38,24,117
43,433,38,22,116
43,436,38,21,114
41,439,39,22,111
38,442,39,24,109
37,448,39,25,103
36,449,39,24,104
36,454,39,21,102
37,458,39,21,97
37,460,39,18,98
37,460,39,18,98
38,464,39,18,93
37,468,39,19,89
38,472,39,19,84
37,473,39,17,86
38,473,39,17,85
37,476,39,17,83
36,476,39,17,84
35,479,39,17,82
35,483,39,15,80
35,483,39,15,80
37,483,39,12,81
38,483,39,12,80
35,484,39,11,83
34,490,39,12,77
34,493,39,12,74
36,494,39,11,72
35,497,39,11,70
35,501,39,11,66
34,503,39,11,65
34,504,39,11,64
36,504,39,11,62
36,505,39,9,63
36,507,39,7,63
35,507,39,8,63
36,510,39,7,60
36,513,39,5,59
35,516,39,5,57
36,517,39,5,55
36,516,39,5,56
35,517,39,6,55
36,517,39,5,55
36,516,39,6,55
37,517,40,5,53
37,518,40,3,54
39,520,40,3,50
38,522,40,5,47
37,525,40,6,44
37,525,40,4,46
36,527,40,5,44
33,527,40,8,44
34,527,40,6,45
34,527,40,6,45
33,528,40,7,44
32,529,40,8,43
31,530,40,9,42
31,530,40,8,43
32,529,40,7,44
30,530,40,9,43
31,529,40,8,44
31,532,40,8,41
31,532,40,8,41
31,534,40,8,39
30,535,40,8,39
30,537,40,5,40
29,539,40,6,38
30,542,40,6,34
30,542,40,6,34
30,542,40,7,33
30,542,40,7,33
29,542,40,8,33
29,544,40,7,32
27,546,40,8,31
27,546,40,7,32
29,546,40,6,31
29,547,40,6,30
30,548,40,6,28
29,548,40,7,28
29,548,40,7,28
29,548,40,7,28
28,549,40,8,27
28,550,40,8,26
26,551,40,9,26
25,551,40,10,26
26,552,40,10,24
27,552,40,10,23
28,552,40,8,24
28,552,40,8,24
28,552,40,9,23
29,552,40,9,22
29,552,40,7,24
29,552,40,8,23
28,552,40,9,23
27,552,40,10,23
26,553,40,11,22
26,553,40,9,24
26,553,40,8,25
26,555,40,8,23
26,557,40,7,22
25,558,40,9,20
25,558,40,9,20
25,560,40,8,19
25,561,40,8,18
25,562,40,8,17
25,564,40,8,15
24,564,40,9,15
24,564,40,9,15
25,565,40,8,14
24,565,40,9,14
25,565,40,8,14
25,566,40,7,14
25,566,40,7,14
25,567,40,7,13
24,567,40,8,13
24,568,40,8,12
24,568,40,6,14
24,569,40,6,13
25,569,40,7,11
24,569,40,8,11
23,570,40,8,11
23,570,40,8,11
23,571,40,8,10
23,571,40,8,10
23,571,40,8,10
22,571,40,9,10
22,571,40,8,11
22,572,40,7,11
22,573,40,7,10
22,573,40,7,10
22,574,40,7,9
22,574,40,7,9
22,575,40,5,10
22,576,40,5,9
22,576,40,4,10
23,576,40,4,9
23,576,40,4,9
22,576,40,4,10
22,576,40,4,10
23,575,40,4,10
24,574,40,4,10
25,574,40,4,9
25,574,40,3,10
25,574,40,3,10
27,572,40,1,12
29,570,40,1,12
30,569,41,1,11
30,569,41,1,11
30,570,41,1,10
29,572,41,1,9
29,572,41,1,9
31,571,41,1,8
31,572,41,1,7
31,572,41,1,7
30,572,41,2,7
30,572,41,2,7
31,571,41,2,7
33,570,41,1,7
33,570,41,1,7
34,570,41,1,6
34,571,41,1,5
34,571,41,1,5
34,571,41,1,5
33,571,41,2,5
