Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,0,8,0,0,1,0,1,0
0,3,59,0,1,1,0,0,0
0,5,130,1,1,3,0,0,0
0,2,225,1,1,3,0,1,0
0,5,320,0,1,2,0,1,0
0,5,413,0,0,0,0,1,0
0,8,493,0,0,0,0,2,0
0,11,549,1,0,0,0,0,0
1,17,477,0,0,0,0,0,0
2,18,585,1,0,0,0,0,0
2,19,526,0,0,0,0,0,0
10,21,545,0,0,0,1,0,0
11,20,524,0,0,0,1,0,0
19,20,536,0,0,0,1,1,0
5,18,524,0,0,0,1,0,0
6,18,537,1,0,1,1,0,0
0,18,534,1,0,0,0,0,0
3,19,548,1,0,0,0,1,0
0,18,550,0,0,0,1,3,0
7,19,557,0,0,2,2,3,0
3,15,534,0,0,2,1,0,0
9,20,551,1,0,1,4,0,0
10,18,520,0,0,1,2,1,0
15,19,528,0,1,1,2,1,0
4,17,502,1,1,1,0,2,0
7,17,512,1,1,2,0,3,0
2,15,504,2,0,2,1,1,0
6,17,519,3,0,2,1,2,0
0,15,525,2,0,2,0,0,0
0,16,557,3,0,2,0,0,0
0,14,581,1,0,1,0,0,0
0,15,597,2,0,1,0,0,0
0,0,608,0,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,625,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,645,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,632,3,0,0,0,0,0
0,0,628,3,0,0,0,0,0
0,0,628,4,0,0,0,0,0
0,0,629,1,0,0,0,0,0
0,0,632,3,0,0,0,0,0
0,1,615,0,0,0,0,0,0
5,3,619,0,0,0,0,0,0
3,3,595,1,0,0,0,0,0
6,3,601,1,0,0,0,2,0
2,3,574,0,0,0,0,2,0
7,3,578,1,0,0,0,3,0
