Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
640,1,0,2,9
638,0,0,5,9
636,1,0,7,8
630,1,0,14,7
629,2,0,14,7
627,2,0,14,9
628,3,0,13,8
624,4,0,16,8
617,5,0,20,10
616,3,0,22,11
614,1,0,24,13
609,1,0,28,14
604,1,0,28,19
599,3,0,34,16
600,2,0,35,15
596,2,0,38,16
585,2,0,46,19
576,1,0,52,23
570,1,0,57,24
562,1,0,63,26
554,1,0,66,31
546,4,0,71,31
534,5,0,79,34
523,6,0,82,41
513,7,0,85,47
503,7,0,90,52
483,10,0,102,57
464,10,0,118,60
443,6,0,137,66
420,6,0,154,72
400,7,1,171,73
377,6,1,179,89
360,7,1,183,101
331,12,1,198,110
313,14,1,208,116
297,19,1,207,128
275,21,1,218,137
253,25,1,226,147
234,27,1,231,159
221,34,1,232,164
205,35,1,226,185
187,44,1,224,196
170,49,1,227,205
154,55,1,225,217
133,60,1,225,233
115,66,1,229,241
103,68,1,220,260
91,75,1,222,263
79,82,2,221,268
73,91,2,211,275
70,95,2,198,287
60,102,2,191,297
57,107,2,185,301
48,115,2,183,304
40,124,2,182,304
36,134,2,166,314
29,145,2,162,314
26,154,2,150,320
22,171,2,143,314
20,179,2,137,314
17,190,3,130,312
16,196,3,123,314
12,207,3,117,313
9,217,3,110,313
10,228,4,105,305
10,238,4,96,304
9,243,4,92,304
8,258,5,86,295
9,263,5,82,293
8,275,6,77,286
9,282,7,73,281
9,290,7,66,280
6,301,7,64,274
6,306,8,63,269
7,308,8,58,271
6,312,8,56,270
6,332,9,54,251
6,339,11,52,244
5,350,12,52,233
5,357,12,50,228
4,367,13,48,220
4,372,14,43,219
4,377,14,40,217
5,379,15,39,214
6,390,16,37,203
7,397,16,35,197
8,402,16,35,191
7,405,16,33,191
5,409,17,32,189
4,415,18,31,184
4,418,18,29,183
4,421,19,29,179
5,424,20,28,175
5,430,21,28,168
5,433,21,25,168
5,437,21,24,165
6,440,21,20,165
7,444,21,20,160
7,449,21,20,155
6,451,22,20,153
6,455,22,18,151
5,462,22,18,145
6,463,23,16,144
6,469,24,14,139
6,469,24,15,138
5,471,24,16,136
5,474,24,15,134
5,478,24,15,130
5,481,24,15,127
5,488,24,13,122
5,490,24,10,123
5,494,24,10,119
5,497,25,10,115
8,500,25,6,113
7,503,25,6,111
8,505,25,5,109
7,509,27,6,103
7,509,27,5,104
8,513,27,4,100
6,518,27,6,95
5,521,27,6,93
5,524,27,5,91
5,526,27,5,89
5,528,27,6,86
6,529,27,6,84
6,531,27,6,82
6,533,27,6,80
6,533,27,6,80
6,536,27,6,77
6,539,27,6,74
7,541,27,6,71
7,543,27,4,71
7,547,27,4,67
7,549,27,4,65
7,549,27,5,64
6,550,27,6,63
6,551,27,6,62
6,556,27,5,58
5,558,27,5,57
6,560,27,3,56
6,562,27,2,55
6,563,27,3,53
6,564,27,4,51
5,564,27,5,51
6,566,27,5,48
5,568,27,6,46
5,570,27,5,45
5,572,27,5,43
6,573,27,5,41
6,573,27,5,41
6,575,27,5,39
6,576,27,4,39
6,578,27,4,37
6,580,27,4,35
6,581,27,4,34
6,582,27,4,33
6,583,27,3,33
6,584,27,4,31
5,586,27,5,29
5,587,27,5,28
5,588,27,5,27
5,588,27,5,27
5,588,27,5,27
7,586,27,5,27
7,587,27,5,26
7,588,27,5,25
7,589,28,5,23
7,589,28,5,23
7,590,28,5,22
7,591,28,4,22
7,591,28,4,22
7,591,28,4,22
7,592,28,4,21
7,593,28,4,20
8,595,28,4,17
8,595,28,3,18
8,596,28,2,18
8,596,28,2,18
8,597,28,0,19
9,596,28,0,19
9,597,28,0,18
9,598,28,0,17
9,599,28,0,16
10,598,28,1,15
10,599,28,1,14
10,602,28,1,11
9,602,28,2,11
9,602,28,2,11
9,602,28,2,11
9,603,28,2,10
9,603,28,2,10
10,602,28,2,10
10,602,28,2,10
10,603,28,2,9
10,604,28,1,9
11,603,28,1,9
12,603,28,1,8
13,603,28,1,7
13,604,28,1,6
13,604,28,1,6
13,604,28,1,6
13,604,28,1,6
13,604,28,1,6
14,603,28,1,6
14,604,28,1,5
14,604,28,1,5
14,604,28,1,5
14,604,28,1,5
14,604,28,1,5
14,604,28,1,5
14,605,28,0,5
14,605,28,0,5
14,605,28,0,5
14,605,28,0,5
15,604,28,0,5
15,604,28,0,5
15,604,28,0,5
15,604,28,0,5
15,604,28,0,5
15,604,28,0,5
16,603,28,0,5
17,603,28,0,4
16,603,28,1,4
18,601,28,2,3
18,601,28,2,3
19,600,28,2,3
19,600,28,1,4
19,600,28,1,4
19,601,28,1,3
19,601,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
20,600,28,1,3
21,599,28,1,3
21,599,28,1,3
18,599,28,3,4
18,599,28,3,4
18,599,28,2,5
18,599,28,2,5
17,599,28,2,6
17,599,28,2,6
17,599,28,1,7
18,598,28,1,7
18,598,28,1,7
19,597,28,1,7
19,597,28,1,7
19,597,28,1,7
19,598,28,1,6
20,597,28,1,6
21,596,28,1,6
21,596,28,1,6
21,596,28,1,6
22,595,28,1,6
22,595,28,1,6
24,593,28,1,6
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
25,594,28,1,4
26,593,28,1,4
26,593,28,1,4
25,593,28,2,4
26,592,28,2,4
26,592,28,2,4
26,592,28,2,4
27,591,28,2,4
27,591,28,2,4
27,591,28,2,4
28,590,28,2,4
30,588,28,2,4
30,588,28,1,5
30,588,28,1,5
31,587,28,1,5
32,585,28,2,5
33,584,28,2,5
33,584,28,2,5
35,582,28,2,5
37,580,28,2,5
39,578,28,1,6
40,576,28,2,6
42,575,28,1,6
43,574,28,1,6
43,573,28,2,6
43,573,28,2,6
42,573,28,3,6
42,573,28,3,6
43,573,28,2,6
43,573,28,2,6
43,573,28,2,6
44,572,28,2,6
46,570,28,2,6
46,569,28,3,6
47,569,28,3,5
46,569,28,4,5
47,567,28,5,5
46,567,28,6,5
47,565,28,6,6
48,564,28,7,5
49,563,28,7,5
50,562,28,7,5
50,561,28,7,6
48,561,28,8,7
51,558,28,8,7
53,555,28,9,7
55,553,28,8,8
55,553,28,8,8
54,553,28,7,10
53,552,28,7,12
53,552,28,7,12
54,551,28,7,12
56,550,28,7,11
54,550,28,9,11
54,550,28,8,12
58,548,28,8,10
60,547,28,8,9
60,546,28,8,10
61,545,28,8,10
64,541,28,7,12
64,540,28,7,13
66,537,28,6,15
68,536,28,6,14
68,536,28,6,14
70,534,28,5,15
74,532,28,5,13
75,530,28,5,14
81,524,28,4,15
86,518,28,5,15
90,514,28,6,14
94,510,28,6,14
96,507,28,8,13
98,503,28,10,13
105,495,28,10,14
114,487,28,8,15
123,477,28,7,17
130,469,28,9,16
138,460,28,10,16
147,448,29,14,14
151,441,29,17,14
158,430,29,21,14
168,418,29,17,20
173,409,29,20,21
190,388,29,22,23
204,370,29,26,23
206,361,29,33,23
221,345,29,34,23
234,328,29,33,28
240,316,29,37,30
252,298,29,44,29
259,283,29,50,31
271,264,29,53,35
278,250,29,59,36
291,229,29,65,38
302,205,29,73,43
309,188,29,76,50
312,175,29,84,52
316,157,29,95,55
316,144,29,101,62
314,134,29,109,66
307,125,29,120,71
305,118,29,125,75
298,113,29,129,83
291,105,29,137,90
279,105,29,148,91
268,96,29,161,98
251,89,29,178,105
243,88,30,178,113
227,91,30,188,116
215,92,30,186,129
198,91,30,201,132
190,91,30,200,141
178,89,30,198,157
156,92,30,207,167
141,92,31,213,175
134,94,31,214,179
120,100,31,214,187
105,109,31,210,197
96,115,31,204,206
84,119,31,202,216
78,123,31,195,225
73,127,31,184,237
64,133,31,186,238
57,141,31,186,237
49,151,31,181,240
44,160,31,180,237
38,168,31,171,244
29,172,31,171,249
29,177,31,160,255
30,186,31,149,256
24,192,31,146,259
20,200,31,137,264
21,207,31,131,262
17,217,32,127,259
12,227,32,118,263
10,237,32,113,260
7,241,33,111,260
7,249,33,98,265
6,259,34,93,260
6,267,34,89,256
7,270,35,86,254
8,275,35,78,256
8,289,36,73,246
6,295,36,70,245
6,298,36,62,250
7,303,37,60,245
7,304,37,62,242
6,308,37,62,239
7,309,37,58,241
7,315,37,50,243
6,319,37,48,242
6,321,37,44,244
5,332,37,42,236
6,340,37,37,232
6,347,37,33,229
5,356,37,32,222
7,361,37,31,216
7,367,37,27,214
6,372,37,25,212
6,377,37,26,206
6,386,37,25,198
7,390,37,24,194
6,394,37,25,190
6,397,37,21,191
6,402,37,22,185
5,408,38,20,181
5,409,38,21,179
4,412,38,20,178
4,420,38,20,170
5,426,38,19,164
5,434,38,19,156
5,437,38,17,155
4,442,38,18,150
6,447,38,16,145
5,453,38,17,139
4,458,38,15,137
4,460,38,15,135
4,462,38,14,134
3,466,38,14,131
5,468,38,10,131
6,470,38,10,128
5,474,38,11,124
6,482,38,8,118
8,485,38,7,114
8,490,38,7,109
8,492,38,7,107
7,493,38,6,108
7,495,38,7,105
6,499,38,8,101
6,499,38,8,101
7,502,38,8,97
7,506,38,7,94
5,507,38,9,93
5,510,38,7,92
5,512,38,7,90
6,515,39,7,85
7,517,39,6,83
7,518,39,6,82
7,520,39,5,81
7,521,39,5,80
7,523,39,5,78
7,523,39,5,78
7,524,39,5,77
8,525,39,6,74
8,527,39,5,73
9,530,39,4,70
9,531,39,4,69
8,536,39,5,64
8,536,39,5,64
6,537,39,7,63
7,537,39,6,63
7,538,39,5,63
7,538,39,5,63
8,540,39,5,60
9,542,39,4,58
9,543,39,4,57
9,545,39,3,56
7,547,39,5,54
8,547,39,4,54
8,549,39,4,52
8,551,39,4,50
8,554,39,4,47
8,555,39,4,46
7,557,39,5,44
8,556,39,5,44
9,556,39,5,43
9,556,39,5,43
8,558,39,5,42
8,561,39,4,40
8,561,39,4,40
9,561,39,4,39
8,562,39,6,37
8,561,39,7,37
8,563,39,6,36
8,563,39,7,35
8,563,39,7,35
8,563,39,7,35
7,563,39,8,35
7,567,39,6,33
7,568,39,6,32
7,570,39,6,30
7,571,39,6,29
9,570,39,6,28
8,571,39,6,28
8,572,39,6,27
8,572,39,6,27
8,572,39,5,28
8,572,39,4,29
8,574,39,4,27
7,574,39,5,27
6,577,39,6,24
5,577,39,6,25
5,578,39,6,24
5,578,39,6,24
5,578,39,4,26
5,578,39,3,27
4,579,39,4,26
4,580,39,4,25
4,580,39,4,25
4,580,39,2,27
4,580,39,2,27
4,581,39,1,27
4,581,39,1,27
4,581,39,1,27
4,582,39,0,27
5,582,39,0,26
5,582,39,0,26
5,582,39,0,26
5,582,39,0,26
5,583,39,0,25
5,583,39,0,25
5,583,39,0,25
6,583,39,0,24
6,584,39,0,23
6,584,39,0,23
7,585,39,0,21
7,585,39,0,21
7,585,39,0,21
7,586,39,0,20
6,587,39,1,19
6,587,39,0,20
5,588,39,1,19
5,589,39,1,18
6,588,39,1,18
6,587,39,2,18
6,587,39,2,18
6,588,39,2,17
6,588,39,2,17
6,589,39,2,16
6,589,39,2,16
6,590,39,2,15
7,589,39,2,15
7,590,39,2,14
6,591,39,2,14
6,591,39,2,14
6,592,39,2,13
7,591,39,2,13
6,592,39,2,13
7,591,39,2,13
6,592,39,4,11
6,592,39,4,11
6,592,39,4,11
6,592,39,4,11
6,592,39,4,11
5,592,39,4,12
5,592,39,4,12
5,592,39,4,12
5,592,39,4,12
5,593,39,4,11
5,593,39,3,12
5,593,39,3,12
5,594,39,2,12
5,594,39,2,12
4,594,39,3,12
4,595,39,3,11
3,595,39,4,11
2,595,39,5,11
2,595,39,5,11
4,593,39,5,11
4,593,39,4,12
3,594,39,4,12
3,594,39,4,12
3,595,39,3,12
3,595,39,3,12
3,595,39,3,12
3,596,39,2,12
3,596,39,2,12
3,596,39,1,13
3,597,39,1,12
3,597,39,1,12
3,598,39,1,11
1,598,39,3,11
1,598,39,3,11
2,597,39,3,11
2,597,39,3,11
2,597,39,2,12
2,597,39,2,12
2,597,39,2,12
2,597,39,2,12
1,597,39,3,12
2,596,39,3,12
2,596,39,3,12
3,595,39,3,12
4,594,39,3,12
4,594,39,3,12
4,594,39,3,12
4,594,39,3,12
4,594,39,2,13
4,594,39,2,13
5,595,39,2,11
5,594,39,3,11
5,595,39,3,10
5,595,39,3,10
5,595,39,2,11
5,596,39,2,10
5,596,39,2,10
5,597,39,2,9
5,598,39,2,8
5,598,39,0,10
5,598,39,0,10
6,597,39,0,10
6,597,39,0,10
6,596,39,1,10
6,596,39,1,10
6,596,39,1,10
6,596,39,1,10
6,596,39,1,10
5,596,39,2,10
5,596,39,2,10
5,596,39,2,10
4,596,39,3,10
4,596,39,3,10
4,596,39,3,10
3,596,39,4,10
3,597,39,4,9
2,597,39,5,9
2,597,39,5,9
2,597,39,5,9
2,598,39,4,9
2,598,39,4,9
3,598,39,3,9
3,599,39,3,8
4,599,39,2,8
3,600,39,3,7
3,600,39,3,7
3,600,39,3,7
3,601,39,3,6
3,601,39,3,6
3,601,39,2,7
3,601,39,2,7
3,601,39,2,7
3,601,39,2,7
3,601,39,2,7
3,601,39,1,8
4,602,39,1,6
4,602,39,1,6
4,602,39,1,6
4,603,39,1,5
5,602,39,0,6
5,602,39,0,6
5,602,39,0,6
5,602,39,0,6
5,602,39,0,6
5,602,39,0,6
5,604,39,0,4
4,604,39,1,4
4,605,39,0,4
4,605,39,0,4
4,606,39,0,3
4,606,39,0,3
4,606,39,0,3
4,606,39,0,3
4,606,39,0,3
4,606,39,0,3
3,606,39,1,3
3,606,39,1,3
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
3,607,39,1,2
4,606,39,1,2
5,605,39,1,2
5,605,39,1,2
5,605,39,1,2
4,605,39,2,2
4,605,39,2,2
4,605,39,1,3
4,606,39,1,2
4,606,39,1,2
4,606,39,1,2
4,606,39,1,2
5,605,39,1,2
5,605,39,1,2
5,605,39,0,3
4,605,39,1,3
3,605,39,2,3
4,604,39,2,3
4,604,39,2,3
4,605,39,2,2
5,604,39,2,2
5,604,39,2,2
5,604,39,2,2
5,604,39,1,3
5,604,39,1,3
5,604,39,1,3
5,605,39,1,2
5,605,39,1,2
5,605,39,1,2
5,605,39,1,2
5,605,39,0,3
5,605,39,0,3
5,606,39,0,2
5,606,39,0,2
6,605,39,0,2
6,605,39,0,2
6,605,39,0,2
7,604,39,0,2
8,603,39,0,2
8,603,39,0,2
7,603,39,1,2
8,602,39,0,3
8,602,39,0,3
10,600,39,0,3
11,599,39,0,3
11,599,39,0,3
11,599,39,0,3
12,598,39,0,3
12,598,39,0,3
12,598,39,0,3
13,597,39,0,3
13,597,39,0,3
13,597,39,0,3
13,597,40,0,2
13,597,40,0,2
13,597,40,0,2
12,597,40,1,2
12,597,40,1,2
12,597,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,1,2
13,596,40,0,3
13,596,40,0,3
13,596,40,0,3
14,595,40,0,3
14,595,40,0,3
16,593,40,0,3
16,593,40,0,3
16,594,40,0,2
15,594,40,1,2
15,595,40,0,2
16,595,40,0,1
16,595,40,0,1
16,595,40,0,1
17,594,40,0,1
19,592,40,0,1
20,592,40,0,0
20,592,40,0,0
21,591,40,0,0
22,590,40,0,0
22,590,40,0,0
22,590,40,0,0
22,590,40,0,0
23,589,40,0,0
23,589,40,0,0
23,589,40,0,0
23,589,40,0,0
23,589,40,0,0
23,589,40,0,0
24,588,40,0,0
24,588,40,0,0
24,588,40,0,0
24,588,40,0,0
23,588,40,1,0
25,586,40,1,0
25,586,40,1,0
25,586,40,1,0
25,586,40,1,0
24,586,40,2,0
26,584,40,1,1
25,584,40,2,1
25,584,40,2,1
24,584,40,3,1
25,583,40,3,1
26,582,40,3,1
27,581,40,3,1
27,581,40,3,1
27,581,40,3,1
27,580,40,4,1
28,580,40,3,1
28,580,40,2,2
28,580,40,2,2
29,579,40,2,2
30,578,40,2,2
30,578,40,2,2
30,577,40,3,2
30,577,40,3,2
31,576,40,3,2
31,576,40,3,2
31,576,40,3,2
31,576,40,2,3
31,576,40,2,3
30,577,40,3,2
30,577,40,2,3
30,577,40,2,3
29,577,40,3,3
29,577,40,3,3
29,576,40,4,3
30,575,40,4,3
31,574,40,3,4
31,574,40,4,3
32,573,40,4,3
32,573,40,4,3
33,572,40,4,3
34,571,40,4,3
33,571,40,5,3
32,571,40,6,3
33,569,40,7,3
34,567,40,7,4
35,566,40,7,4
36,565,40,6,5
37,563,40,7,5
38,562,40,7,5
39,561,40,6,6
41,559,40,6,6
46,556,40,5,5
46,556,40,5,5
45,557,40,6,4
47,555,40,6,4
47,555,40,6,4
49,553,40,6,4
50,551,40,6,5
52,548,40,7,5
57,543,40,7,5
53,543,40,10,6
53,542,40,10,7
53,541,40,11,7
54,541,40,11,6
55,541,40,11,5
56,539,40,11,6
57,539,40,10,6
57,539,40,10,6
60,535,40,10,7
58,535,40,12,7
57,534,40,13,8
57,534,40,13,8
59,535,40,11,7
61,532,40,12,7
62,531,40,13,6
65,528,40,13,6
69,524,40,14,5
68,522,40,17,5
70,520,40,17,5
72,519,40,15,6
75,516,40,13,8
77,514,40,13,8
81,510,40,12,9
83,506,40,14,9
83,506,40,14,9
85,504,40,14,9
87,502,40,14,9
92,496,40,15,9
95,490,40,18,9
98,485,40,18,11
104,479,41,18,10
111,473,41,18,9
116,468,41,19,8
124,459,41,19,9
127,456,41,20,8
138,445,41,18,10
143,436,41,21,11
151,423,41,22,15
155,413,41,28,15
164,402,41,30,15
177,387,41,30,17
184,377,41,32,18
189,366,41,38,18
198,354,41,38,21
208,338,41,39,26
220,327,41,38,26
224,322,41,40,25
233,306,41,45,27
241,289,41,47,34
251,270,41,55,35
252,256,41,64,39
257,244,41,66,44
264,229,41,66,52
269,210,41,74,58
271,196,41,83,61
273,186,41,90,62
268,177,41,98,68
268,166,41,109,68
262,163,41,117,69
256,155,41,126,74
261,146,41,126,78
258,138,41,133,82
250,130,41,141,90
243,121,41,150,97
238,112,41,157,104
229,108,41,161,113
209,104,41,168,130
200,103,41,175,133
180,106,41,187,138
171,108,41,188,144
153,111,41,197,150
143,114,41,193,161
132,115,41,194,170
117,117,41,197,180
110,121,41,192,188
95,129,41,194,193
82,133,41,192,204
78,140,41,182,211
73,148,41,176,214
63,154,41,177,217
54,163,41,166,228
50,166,42,156,238
41,173,42,155,241
40,180,42,146,244
39,185,42,140,246
33,193,42,133,251
27,199,42,131,253
26,205,42,122,257
22,211,42,112,265
23,219,42,105,263
25,229,42,94,262
23,235,42,88,264
20,242,42,83,265
15,245,42,82,268
12,251,42,81,266
14,259,42,78,259
14,268,42,73,255
14,275,42,68,253
14,280,42,66,250
12,291,42,67,240
12,304,43,66,227
11,309,43,61,228
8,318,43,60,223
8,325,43,58,218
6,328,43,53,222
7,344,43,45,213
7,355,43,41,206
6,361,43,38,204
6,367,43,36,200
6,374,43,32,197
6,378,43,32,193
5,381,43,32,191
4,383,43,32,190
3,387,43,29,190
3,398,43,26,182
5,406,43,23,175
4,408,43,24,173
3,409,43,22,175
4,412,44,22,170
2,413,44,23,170
2,417,44,22,167
2,422,44,21,163
2,426,45,21,158
2,429,45,20,156
3,434,45,20,150
3,439,45,19,146
3,441,45,18,145
4,446,45,18,139
5,448,45,17,137
5,455,45,16,131
