Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,4,20,0,0,1,0,0,0
0,2,78,0,0,5,0,4,0
0,4,143,0,0,6,0,2,0
0,3,246,0,0,2,0,2,0
0,8,347,1,0,1,0,1,0
0,8,444,1,0,1,0,2,0
0,9,512,0,0,0,0,1,0
1,11,554,0,0,0,0,1,0
1,11,587,0,0,0,0,0,0
4,11,605,0,0,0,0,0,0
2,12,562,0,0,0,0,0,0
12,12,560,0,0,0,0,0,0
5,11,537,0,0,0,0,0,0
18,12,546,2,0,0,0,0,0
4,12,539,1,0,0,0,1,0
8,13,545,1,0,1,0,1,0
2,13,537,0,0,1,0,0,0
4,16,552,1,0,1,0,2,0
2,14,538,0,0,0,0,3,0
5,16,551,0,0,0,0,4,0
4,14,535,1,0,0,0,3,0
12,15,548,4,0,0,0,4,0
2,15,542,2,0,0,0,4,0
8,16,550,3,0,0,1,6,0
4,16,519,1,0,0,1,2,0
9,16,530,3,1,0,1,2,0
6,12,529,0,1,1,0,2,0
11,14,542,1,1,1,0,3,0
0,14,556,0,0,0,0,0,0
0,15,568,0,0,0,0,0,0
0,13,584,2,0,0,0,0,0
0,15,599,1,0,0,0,0,0
0,0,600,2,0,0,0,0,0
0,0,614,2,0,0,0,0,0
0,0,623,0,0,0,0,0,0
0,0,627,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,634,0,0,0,0,0,0
0,0,634,3,0,0,0,0,0
0,0,622,3,0,0,0,0,0
0,0,624,6,0,0,0,0,0
0,1,620,4,0,0,0,0,0
0,1,623,7,0,0,0,0,0
2,1,610,1,0,0,0,0,0
6,3,617,2,0,0,1,0,0
9,4,580,1,0,0,0,0,0
13,4,582,2,0,0,0,0,0
4,3,563,0,0,1,0,2,0
8,5,574,0,0,2,0,2,0
5,7,556,1,0,2,0,2,0
9,7,561,2,1,3,0,4,0
3,7,545,0,0,3,0,4,0
8,9,560,0,0,4,1,4,0
9,8,530,3,0,3,3,0,0
17,8,539,5,0,3,3,1,0
4,8,519,0,0,2,4,0,0
8,8,533,0,1,2,6,0,0
