Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
639,0,0,3,10
639,0,0,3,10
638,0,0,4,10
633,1,0,7,11
632,2,0,7,11
632,2,0,7,11
632,2,0,8,10
631,2,0,9,10
629,3,0,10,10
628,3,0,11,10
626,3,0,13,10
625,3,0,12,12
622,4,0,15,11
620,3,0,16,13
619,4,0,16,13
620,3,0,16,13
615,3,0,20,14
613,3,0,20,16
612,3,0,22,15
610,3,0,20,19
608,3,0,20,21
603,3,0,24,22
599,3,0,27,23
598,3,0,27,24
596,3,0,27,26
594,4,0,29,25
592,5,0,29,26
585,6,0,33,28
581,6,0,36,29
577,6,0,40,29
575,8,0,39,30
573,7,0,36,36
564,6,0,42,40
561,8,0,43,40
554,10,0,48,40
547,12,0,54,39
540,12,0,55,45
534,12,0,59,47
530,12,0,60,50
529,13,0,61,49
522,13,0,66,51
516,18,0,65,53
508,18,0,67,59
505,17,0,66,64
500,19,0,69,64
488,20,0,77,67
481,22,0,83,66
477,26,0,82,67
470,27,0,84,71
460,28,0,87,77
456,28,1,88,79
451,27,2,90,82
448,28,3,89,84
439,30,3,92,88
432,29,3,95,93
419,29,3,103,98
408,34,3,106,101
395,37,3,112,105
390,39,3,110,110
385,45,3,110,109
378,47,3,113,111
362,48,3,119,120
356,50,3,116,127
351,57,3,115,126
342,60,3,115,132
337,63,3,112,137
330,64,3,112,143
318,68,4,119,143
312,77,4,116,143
304,79,4,118,147
301,79,4,118,150
299,85,4,115,149
298,87,4,109,154
297,92,4,102,157
296,96,5,95,160
297,101,6,88,160
297,102,6,83,164
294,106,6,83,163
295,108,6,79,164
296,107,6,78,165
295,112,6,72,167
298,111,6,70,167
299,111,6,67,169
300,116,6,63,167
301,119,6,60,166
303,119,6,56,168
305,120,6,57,164
306,125,6,56,159
306,126,6,57,157
309,127,6,52,158
313,124,6,50,159
316,129,7,46,154
319,126,7,41,159
320,125,7,42,158
321,127,8,42,154
323,129,8,39,153
327,128,8,38,151
325,132,8,40,147
324,129,8,44,147
324,134,8,44,142
326,134,8,42,142
328,135,9,42,138
328,136,9,41,138
337,134,10,39,132
334,136,10,39,133
336,138,11,39,128
344,136,11,37,124
345,136,11,38,122
347,136,12,37,120
354,134,12,36,116
357,131,13,33,118
355,132,13,35,117
358,133,13,32,116
361,131,13,30,117
361,132,13,29,117
362,134,13,29,114
370,131,13,25,113
371,131,13,23,114
375,130,13,22,112
376,131,13,22,110
374,133,14,25,106
378,132,14,24,104
380,131,14,20,107
386,129,14,20,103
390,128,14,15,105
395,129,14,16,98
400,126,14,14,98
406,126,14,14,92
410,123,14,14,91
417,121,15,14,85
421,119,15,14,83
414,115,15,25,83
401,114,15,41,81
402,111,15,45,79
398,108,15,52,79
385,106,15,66,80
386,104,15,61,86
387,104,15,59,87
390,102,15,53,92
392,103,15,53,89
395,103,15,51,88
399,101,15,51,86
399,109,16,47,81
403,109,17,45,78
405,107,17,43,80
409,106,17,42,78
417,99,17,40,79
417,98,17,38,82
421,100,17,35,79
425,98,17,31,81
430,94,17,31,80
437,89,17,27,82
439,89,17,27,80
445,84,17,25,81
449,85,17,24,77
453,80,17,25,77
453,81,17,24,77
458,75,17,24,78
458,78,17,24,75
462,74,17,22,77
468,71,17,21,75
467,71,17,21,76
471,69,17,21,74
477,67,17,20,71
474,67,17,19,75
479,64,17,18,74
482,60,17,17,76
485,61,17,17,72
487,62,17,16,70
489,60,17,14,72
490,61,17,12,72
489,65,17,12,69
497,60,17,12,66
499,58,17,12,66
502,56,17,12,65
502,57,17,13,63
502,56,17,15,62
503,55,17,16,61
506,57,17,15,57
506,58,17,15,56
512,54,17,15,54
513,51,17,16,55
514,48,17,17,56
516,47,17,18,54
520,47,17,16,52
522,43,17,18,52
525,39,17,18,53
526,36,17,19,54
527,35,17,19,54
526,35,18,24,49
528,36,18,21,49
529,36,18,19,50
530,35,19,18,50
532,32,19,19,50
533,31,19,17,52
537,28,19,17,51
541,24,19,18,50
541,23,19,19,50
532,25,19,27,49
525,24,19,32,52
521,25,19,36,51
512,24,19,43,54
511,24,19,45,53
507,24,19,52,50
504,25,19,53,51
498,28,19,51,56
497,26,19,54,56
487,26,19,64,56
483,27,19,66,57
479,25,19,67,62
473,23,19,68,69
463,24,19,76,70
455,23,19,77,78
448,23,19,80,82
436,28,20,88,80
427,29,20,92,84
422,31,20,89,90
415,33,20,90,94
410,31,20,92,99
401,34,20,92,105
394,36,20,95,107
388,37,20,96,111
379,38,20,101,114
374,38,20,98,122
368,43,20,99,122
359,43,20,96,134
352,47,20,100,133
347,47,20,102,136
341,49,20,104,138
337,51,20,108,136
325,57,20,111,139
315,57,21,113,146
308,58,21,111,154
297,61,22,114,158
292,63,22,108,167
277,66,22,121,166
270,71,22,123,166
265,75,22,117,173
263,77,22,115,175
263,81,22,106,180
262,88,22,101,179
262,90,22,94,184
262,98,23,87,182
260,104,24,84,180
258,113,24,79,178
259,116,25,77,175
262,119,25,75,171
262,126,25,70,169
263,127,25,67,170
266,129,25,64,168
266,132,26,60,168
267,138,27,51,169
266,141,27,51,167
265,148,27,49,163
265,150,27,48,162
266,153,28,44,161
271,150,28,41,162
270,156,28,41,157
273,157,28,42,152
276,162,28,39,147
279,161,28,39,145
282,160,28,38,144
282,162,29,36,143
285,165,29,33,140
289,162,30,30,141
293,162,30,28,139
299,158,30,26,139
303,159,30,24,136
307,155,30,24,136
314,150,30,24,134
315,155,31,21,130
319,154,31,22,126
320,153,31,23,125
328,150,31,23,120
332,147,31,21,121
333,147,31,21,120
333,146,31,18,124
337,146,32,17,120
343,147,32,14,116
343,150,32,13,114
345,152,32,13,110
349,150,32,15,106
347,151,32,17,105
350,150,32,15,105
354,146,32,14,106
360,143,32,13,104
365,140,32,13,102
371,139,32,12,98
378,136,32,12,94
382,133,32,13,92
385,134,32,12,89
385,134,32,12,89
388,132,32,10,90
392,127,32,7,94
398,123,32,7,92
402,121,32,7,90
408,117,32,7,88
408,119,32,7,86
396,122,32,21,81
391,119,32,28,82
389,115,32,33,83
384,114,32,40,82
382,109,32,45,84
