Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,3,14,0,0,0,0,0,0
0,4,59,0,0,0,0,0,0
0,5,122,0,0,0,0,2,0
0,3,194,0,0,1,0,1,0
0,9,317,1,0,2,0,0,0
0,11,427,3,0,2,0,1,0
0,14,493,1,0,0,0,2,0
0,14,561,1,0,0,0,2,0
1,14,567,2,0,0,0,0,0
8,14,586,2,0,0,0,0,0
4,15,557,0,0,0,0,0,0
14,16,566,1,0,0,0,1,0
5,14,551,2,0,1,0,0,0
7,14,558,3,0,1,0,1,0
1,14,546,0,0,1,0,1,0
6,17,551,0,0,1,0,1,0
5,16,548,1,0,1,0,1,0
9,17,557,2,0,1,0,1,0
2,17,543,0,0,1,0,1,0
6,20,555,0,0,1,1,1,0
1,20,536,1,0,0,1,0,0
5,21,542,1,0,0,1,0,0
5,17,520,1,0,0,1,0,0
8,20,525,2,0,0,1,0,0
6,19,516,1,0,1,0,0,0
12,19,533,2,0,1,0,1,0
6,17,530,1,0,0,0,0,0
11,17,539,2,0,0,0,2,0
0,13,556,1,0,0,0,0,0
0,15,580,1,0,0,0,0,0
0,13,592,0,0,0,0,0,0
0,14,608,0,0,0,0,0,0
0,0,616,1,0,0,0,0,0
0,0,621,1,0,0,0,0,0
0,0,628,1,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,639,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,648,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,640,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,614,0,0,0,0,0,0
0,0,640,0,0,0,0,0,0
0,0,622,1,0,0,0,0,0
0,0,636,1,0,0,0,0,0
0,0,627,0,0,0,0,0,0
0,0,630,1,0,0,0,0,0
0,0,617,2,0,0,0,0,0
3,0,622,4,0,0,0,0,0
3,1,592,1,0,0,0,1,0
7,1,599,1,0,0,0,1,0
5,1,582,0,0,0,1,1,0
7,1,589,2,0,0,1,1,0
3,1,579,0,0,0,2,1,0
9,4,591,1,0,0,2,1,0
2,4,572,1,0,0,1,1,0
9,4,574,2,0,1,1,1,0
3,4,554,0,0,1,0,0,0
5,4,556,2,0,2,0,0,0
2,8,530,2,0,2,2,0,0
9,9,535,3,0,2,2,0,0
3,9,485,2,0,1,3,1,0
11,12,500,2,0,1,3,1,0
6,14,452,0,0,1,2,1,0
14,16,464,0,0,1,3,1,0
8,13,412,0,0,2,2,1,0
12,13,436,0,0,2,2,4,0
7,13,424,2,0,2,2,2,0
14,16,458,6,1,2,2,4,0
1,17,479,0,0,1,0,0,0
0,18,516,1,0,1,0,0,0
0,14,540,0,0,0,0,0,0
0,16,576,0,0,0,0,0,0
0,1,593,0,0,0,0,0,0
0,0,611,1,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,632,0,0,0,0,0,0
0,0,637,0,0,0,0,0,0
0,0,642,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,627,1,0,0,0,0,0
0,0,626,5,0,0,0,0,0
0,0,615,8,0,0,0,0,0
0,0,617,10,1,0,0,0,0
0,0,616,4,0,0,0,0,0
0,0,617,7,0,0,0,0,0
0,0,607,0,0,0,0,0,0
1,1,613,0,0,0,1,0,0
1,1,595,0,0,1,2,0,0
8,2,599,0,0,1,2,0,0
4,2,577,0,0,0,3,0,0
7,4,583,0,0,0,3,0,0
2,5,573,1,0,0,2,0,0
6,9,578,1,0,1,2,2,0
5,9,558,1,0,0,1,2,0
9,9,566,2,0,0,2,2,0
3,8,550,0,0,0,3,3,0
5,10,561,1,1,0,3,3,0
5,12,534,0,0,0,3,0,0
11,12,545,3,0,0,5,1,0
5,13,491,1,0,0,3,3,0
6,14,499,1,1,0,3,6,0
8,14,452,1,0,1,4,6,0
17,15,476,2,1,1,4,6,0
8,18,408,4,0,3,4,4,0
15,19,431,6,0,5,4,6,0
7,17,421,4,0,4,2,3,0
13,18,457,4,0,4,3,5,0
0,16,477,1,0,1,0,0,0
0,19,518,2,0,1,0,0,0
0,17,547,0,0,0,0,0,0
0,18,573,0,0,0,0,0,0
0,0,596,0,0,0,0,0,0
0,0,611,0,0,0,0,0,0
0,0,619,0,0,0,0,0,0
0,0,628,0,0,0,0,0,0
0,0,631,0,0,0,0,0,0
0,0,635,0,0,0,0,0,0
0,0,643,0,0,0,0,0,0
0,0,650,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,1,0,0,0,0,0
0,0,614,0,0,0,0,0,0
0,0,650,1,0,0,0,0,0
0,0,610,1,0,0,0,0,0
0,0,632,1,0,0,0,0,0
0,0,604,1,0,0,0,0,0
0,0,621,3,0,0,0,0,0
0,0,614,3,0,0,0,0,0
0,0,620,4,0,0,0,0,0
0,1,612,1,0,0,0,0,0
1,1,622,3,0,0,0,0,0
1,2,590,0,0,0,0,0,0
8,3,596,1,0,0,0,0,0
3,5,576,0,0,0,0,0,0
8,5,583,0,0,0,0,2,0
1,5,554,0,0,0,1,2,0
2,5,563,0,0,0,2,3,0
3,8,545,0,0,1,1,1,0
9,9,551,1,0,4,2,2,0
2,9,518,1,0,4,1,2,0
7,9,533,3,1,4,2,2,0
4,10,502,2,0,3,1,2,0
9,12,515,2,0,4,1,4,0
4,13,466,0,0,3,1,3,0
11,15,485,1,0,2,1,4,0
4,16,462,2,0,1,2,2,0
10,18,484,4,1,2,2,4,0
4,17,432,2,0,2,1,3,0
9,18,454,4,0,2,1,7,0
2,14,438,3,0,0,0,3,0
4,16,458,5,0,1,0,5,0
0,15,487,2,0,0,0,0,0
0,16,513,3,0,0,0,0,0
0,16,541,1,0,0,0,0,0
0,19,574,2,0,0,0,0,0
0,0,593,1,0,0,0,0,0
0,0,608,2,0,0,0,0,0
0,0,617,0,0,0,0,0,0
0,0,629,0,0,0,0,0,0
0,0,633,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,646,0,0,0,0,0,0
0,0,649,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,636,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,616,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,605,3,0,0,0,0,0
0,0,625,4,0,0,0,0,0
0,0,622,1,1,0,0,0,0
0,1,627,2,1,0,0,0,0
0,1,611,0,1,0,0,0,0
1,1,619,2,1,0,0,0,0
1,1,584,0,0,0,0,0,0
3,1,587,0,0,1,0,2,0
1,1,568,1,0,0,0,1,0
3,3,574,2,0,0,0,1,0
2,3,568,0,0,0,0,1,0
5,3,576,1,0,0,0,1,0
2,6,561,0,0,1,0,0,0
6,11,569,1,1,1,0,1,0
2,10,524,0,0,2,1,2,0
8,11,534,1,0,2,1,2,0
3,11,503,2,0,3,2,2,0
8,11,514,1,1,4,3,5,0
2,11,463,1,0,3,2,5,0
12,13,475,3,0,4,5,6,0
4,15,421,3,0,3,5,2,0
