Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
637,0,0,5,10
634,1,0,7,10
632,3,0,9,8
632,3,0,10,7
632,4,0,10,6
632,4,0,10,6
631,4,0,12,5
629,6,0,14,3
625,5,0,18,4
625,7,0,16,4
624,5,0,18,5
623,7,0,18,4
623,5,0,20,4
616,4,0,24,8
611,4,0,28,9
612,2,0,27,11
612,3,0,26,11
608,5,0,28,11
607,4,0,30,11
603,5,0,31,13
599,5,0,35,13
598,3,0,37,14
588,2,0,46,16
582,2,0,46,22
576,2,0,48,26
564,2,0,54,32
547,4,0,71,30
535,5,0,84,28
525,6,0,91,30
515,6,0,94,37
509,6,0,95,42
499,5,0,105,43
482,6,0,118,46
467,7,0,126,52
457,7,0,123,65
442,10,0,133,67
425,7,0,143,77
411,7,0,147,87
389,12,1,163,87
375,15,1,169,92
351,21,1,183,96
335,22,1,192,102
319,20,1,201,111
303,21,1,201,126
286,21,1,209,135
266,23,1,220,142
257,27,1,214,153
239,28,1,215,169
219,32,1,223,177
201,39,1,229,182
188,42,2,230,190
177,45,2,225,203
157,48,2,228,217
143,51,2,223,233
136,55,2,209,250
124,60,2,208,258
118,65,2,201,266
107,77,2,196,270
99,84,3,190,276
88,92,3,189,280
81,100,3,186,282
76,110,3,183,280
71,117,3,170,291
66,123,3,163,297
62,130,3,156,301
59,136,3,148,306
51,147,3,145,306
43,158,3,142,306
42,166,3,134,307
37,178,3,136,298
36,184,3,128,301
28,190,3,127,304
28,199,3,119,303
24,205,3,117,303
19,217,3,117,296
19,224,3,108,298
20,229,4,100,299
18,241,4,96,293
17,256,4,93,282
16,262,4,88,282
16,272,4,81,279
15,278,4,81,274
14,284,5,74,275
12,297,5,72,266
11,311,5,67,258
11,325,5,65,246
10,329,5,62,246
11,332,5,57,247
13,337,5,58,239
13,341,5,56,237
12,347,7,55,231
11,354,7,54,226
11,357,7,55,222
7,362,7,54,222
7,367,8,50,220
7,375,8,47,215
6,380,8,44,214
8,388,8,42,206
9,393,8,39,203
9,396,9,39,199
9,403,10,39,191
9,407,10,37,189
10,412,10,33,187
11,416,10,30,185
11,423,10,30,178
11,431,10,26,174
10,437,10,24,171
10,444,10,24,164
9,446,10,24,163
9,450,10,23,160
9,453,10,25,155
9,456,10,24,153
9,460,10,23,150
6,467,10,25,144
5,471,10,25,141
4,474,11,25,138
3,478,11,25,135
3,480,11,23,135
4,486,11,21,130
4,490,11,20,127
3,495,11,17,126
3,497,12,15,125
4,501,12,15,120
4,503,12,15,118
3,510,12,14,113
3,512,12,14,111
3,518,12,13,106
3,523,12,10,104
4,524,12,10,102
4,528,12,9,99
4,531,12,9,96
6,532,13,9,92
6,532,13,11,90
5,536,13,11,87
5,537,14,11,85
6,537,14,11,84
5,540,14,12,81
7,541,14,12,78
8,543,14,12,75
8,545,14,12,73
8,546,14,11,73
8,547,14,11,72
8,549,14,10,71
8,550,14,9,71
8,551,14,7,72
8,551,15,5,73
6,553,15,6,72
6,552,15,7,72
6,553,15,7,71
6,556,16,5,69
6,559,16,5,66
6,560,16,5,65
7,561,16,5,63
6,564,17,6,59
6,566,17,6,57
6,567,17,6,56
6,569,17,6,54
6,569,17,5,55
7,570,17,5,53
8,570,17,5,52
9,572,17,5,49
7,573,17,7,48
9,574,17,7,45
9,574,17,6,46
8,575,17,7,45
8,576,17,6,45
8,576,17,6,45
8,577,17,6,44
8,578,17,5,44
9,579,17,5,42
9,579,17,5,42
9,580,17,5,41
10,580,17,5,40
10,580,17,5,40
11,579,17,5,40
11,579,17,6,39
11,580,17,6,38
10,583,17,6,36
10,583,17,6,36
10,584,17,5,36
10,585,17,5,35
10,586,17,3,36
11,587,17,3,34
10,588,17,3,34
10,589,17,3,33
10,590,17,3,32
11,590,17,3,31
11,590,17,3,31
11,591,17,3,30
11,591,17,3,30
10,591,17,3,31
10,592,17,3,30
10,592,17,3,30
10,594,17,2,29
10,596,17,2,27
10,597,17,2,26
10,597,17,2,26
10,597,17,2,26
10,599,17,2,24
9,601,17,1,24
9,601,17,1,24
10,601,17,1,23
10,601,17,1,23
11,601,17,1,22
11,602,17,1,21
11,602,17,1,21
10,602,17,1,22
10,603,17,1,21
10,605,17,2,18
10,605,17,2,18
10,606,17,2,17
10,606,17,2,17
10,606,17,2,17
10,607,17,2,16
10,608,17,2,15
9,608,17,3,15
9,608,17,3,15
9,608,17,3,15
9,608,17,3,15
10,607,17,2,16
10,607,17,2,16
10,607,17,2,16
