Frec. de muestreo 2
Tiendas de comida, Oficinas, Casas, Hospital, Gimnasios, Restaurants, Centros comerciales, Parques, Semáforo
0,0,0,0,0,0,0,0,0
0,3,14,0,0,2,0,0,0
0,2,47,0,0,3,0,2,0
0,3,122,0,1,3,0,4,0
0,5,201,1,3,2,0,2,0
0,7,284,0,2,1,0,2,0
0,8,393,0,0,0,0,2,0
0,11,477,0,0,0,0,1,0
0,15,563,0,0,0,0,1,0
0,17,551,0,0,0,0,0,0
0,18,596,0,0,0,0,0,0
1,18,566,0,0,0,0,0,0
7,18,571,0,0,0,0,1,0
6,18,554,0,0,0,0,0,0
13,18,556,0,0,0,0,0,0
6,20,538,0,0,1,0,0,0
8,21,545,2,0,1,2,1,0
4,20,534,0,0,2,2,1,0
10,21,544,0,0,2,2,1,0
4,19,542,0,0,2,1,0,0
9,19,553,0,0,2,1,0,0
5,16,540,0,0,2,1,0,0
6,17,551,1,0,2,1,0,0
4,13,538,1,0,1,1,0,0
8,17,548,2,1,0,1,2,0
3,15,521,1,0,0,0,2,0
8,17,527,2,0,0,0,2,0
4,14,528,1,0,0,0,1,0
9,17,541,1,0,0,0,1,0
0,14,550,0,0,0,0,0,0
0,15,560,2,0,0,0,0,0
0,14,574,0,0,0,0,0,0
0,14,594,1,0,0,0,0,0
0,0,607,0,0,0,0,0,0
0,0,615,0,0,0,0,0,0
0,0,623,0,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,634,1,0,0,0,0,0
0,0,637,1,0,0,0,0,0
0,0,645,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,641,0,0,0,0,0,0
0,0,642,3,0,0,0,0,0
0,0,632,2,0,0,0,0,0
0,0,635,3,0,0,0,0,0
0,0,632,3,0,0,0,0,0
0,0,636,5,0,0,0,0,0
1,0,619,2,0,0,0,0,0
5,0,619,2,0,0,0,0,0
5,0,590,2,0,0,0,0,0
7,0,595,3,0,0,0,1,0
6,0,570,0,0,0,0,1,0
11,0,577,0,0,1,0,1,0
5,0,564,1,0,1,0,1,0
6,3,575,1,0,1,0,1,0
6,3,562,1,0,0,0,1,0
9,5,568,2,0,1,0,0,0
5,8,540,0,0,1,0,2,0
7,8,549,1,1,1,1,4,0
6,8,521,0,0,0,3,4,0
8,8,526,2,1,0,3,5,0
2,9,492,0,2,0,2,1,0
11,12,503,4,2,2,2,4,0
8,12,459,0,0,1,1,6,0
15,14,472,1,0,2,1,7,0
12,16,421,2,1,1,0,3,0
17,18,444,5,1,2,1,5,0
9,16,443,3,1,0,3,1,0
14,18,473,5,1,0,3,2,0
0,15,502,1,0,0,0,0,0
0,12,465,1,0,0,0,0,0
0,13,571,1,0,0,0,0,0
0,1,557,3,0,0,0,0,0
0,0,607,2,0,0,0,0,0
0,0,616,5,0,0,0,0,0
0,0,627,1,0,0,0,0,0
0,0,630,0,0,0,0,0,0
0,0,638,0,0,0,0,0,0
0,0,644,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,651,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,652,0,0,0,0,0,0
0,0,645,0,0,0,0,0,0
