Susceptibles,Recuperados,Fallecidos,Expuestos,Infectados
650,0,0,0,2
636,0,0,6,10
632,0,0,10,10
631,0,0,12,9
629,1,0,13,9
625,1,0,15,11
621,2,0,19,10
620,3,0,19,10
618,5,0,20,9
613,5,0,24,10
609,6,0,28,9
608,6,0,28,10
605,7,0,29,11
603,8,0,31,10
599,8,0,32,13
593,6,0,40,13
588,6,0,42,16
585,7,0,40,20
575,10,0,48,19
566,10,0,56,20
562,12,0,56,22
554,8,0,64,26
548,10,0,65,29
540,9,0,70,33
530,10,0,74,38
513,9,0,85,45
497,13,0,96,46
490,14,0,93,55
472,16,0,102,62
463,17,0,100,72
448,21,0,106,77
430,23,0,121,78
420,26,0,118,88
411,25,0,124,92
400,28,0,127,97
389,31,0,127,105
377,33,0,130,112
368,36,1,128,119
354,44,2,134,118
345,49,2,136,120
333,54,2,139,124
323,60,2,141,126
306,67,2,147,130
289,74,2,156,131
282,77,2,154,137
271,84,2,153,142
266,88,3,154,141
259,96,4,151,142
253,105,4,151,139
249,111,4,150,138
246,114,4,142,146
238,120,4,139,151
236,120,4,130,162
238,122,4,126,162
231,128,5,124,164
223,140,5,125,159
216,145,5,120,166
212,155,5,117,163
205,165,6,118,158
201,182,6,113,150
196,186,7,114,149
192,192,7,115,146
192,201,7,109,143
191,204,7,102,148
188,209,7,102,146
186,212,7,101,146
183,215,7,98,149
178,218,7,98,151
172,230,7,101,142
163,236,7,101,145
160,243,7,98,144
159,256,7,96,134
156,270,7,92,127
153,272,7,91,129
150,280,7,84,131
147,282,7,84,132
148,286,7,80,131
147,289,7,76,133
143,292,7,76,134
143,299,7,68,135
142,306,7,66,131
142,314,7,64,125
140,316,7,63,126
136,320,7,67,122
136,326,8,66,116
130,331,8,69,114
127,335,8,68,114
127,338,9,66,112
130,347,9,60,106
132,350,9,58,103
131,354,9,59,99
134,359,9,56,94
132,361,9,51,99
131,367,9,51,94
134,369,9,48,92
133,373,9,43,94
135,378,9,40,90
135,379,9,43,86
137,380,9,42,84
136,381,9,45,81
135,386,9,43,79
134,386,10,39,83
133,391,11,38,79
134,392,11,37,78
135,395,11,37,74
136,395,11,38,72
133,397,11,40,71
131,396,11,43,71
131,400,11,42,68
128,402,11,45,66
130,403,11,41,67
127,406,11,41,67
128,413,11,36,64
128,416,12,35,61
128,416,12,38,58
128,419,12,36,57
126,420,12,34,60
122,424,12,36,58
122,423,12,38,57
121,425,12,40,54
124,426,12,38,52
121,429,12,37,53
119,435,12,35,51
117,439,12,33,51
116,439,12,33,52
116,442,12,33,49
116,449,13,29,45
118,447,13,26,48
118,446,13,25,50
120,448,13,22,49
123,447,13,21,48
123,450,13,22,44
126,450,13,23,40
129,449,13,20,41
129,449,13,20,41
132,448,13,18,41
131,448,13,20,40
132,448,13,18,41
132,449,13,18,40
135,447,13,16,41
137,444,13,16,42
136,442,13,19,42
135,442,13,21,41
136,440,13,21,42
133,441,13,25,40
133,441,13,24,41
135,440,13,25,39
135,441,13,21,42
135,440,13,21,43
139,439,13,21,40
140,439,13,21,39
139,437,13,24,39
140,438,13,21,40
142,440,13,17,40
140,440,13,16,43
141,442,13,17,39
141,442,13,16,40
142,444,13,18,35
146,444,13,17,32
147,442,13,18,32
149,442,13,16,32
151,440,13,16,32
153,441,13,14,31
156,440,13,13,30
155,438,13,14,32
157,439,13,16,27
163,434,13,16,26
166,431,13,16,26
169,430,13,15,25
172,427,13,15,25
178,421,13,15,25
180,420,13,15,24
179,419,13,17,24
181,417,13,18,23
183,415,13,17,24
186,414,13,16,23
189,410,13,17,23
192,406,13,15,26
196,406,13,14,23
201,401,13,13,24
202,400,13,13,24
205,397,13,12,25
208,395,13,12,24
214,390,13,12,23
214,387,13,16,22
218,384,13,16,21
221,381,13,14,23
224,379,13,15,21
224,380,13,15,20
233,370,13,12,24
234,366,13,15,24
235,364,13,16,24
238,361,13,16,24
245,353,13,16,25
249,349,13,16,25
251,348,13,15,25
255,344,13,15,25
258,341,13,16,24
261,340,13,15,23
260,340,13,17,22
266,333,13,16,24
265,331,13,18,25
267,330,13,17,25
271,326,13,16,26
272,322,13,17,28
271,320,13,21,27
271,317,13,22,29
273,313,13,22,31
278,308,13,23,30
282,306,14,23,27
288,302,14,21,27
294,297,14,21,26
296,293,14,24,25
303,286,14,23,26
304,288,14,22,24
304,290,14,20,24
312,283,14,20,23
314,279,14,23,22
321,271,14,22,24
327,266,14,22,23
334,260,14,22,22
338,254,14,24,22
343,250,14,25,20
351,241,14,25,21
356,232,14,29,21
365,224,14,27,22
371,218,14,27,22
